Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1,-72.9136
2,-72.1673
3,-72.3855
4,-72.25
5,-71.9531
6,-72.3656
7,-72.3332
8,-72.3142
9,-72.4405
10,-72.3193
11,-72.3328
12,-72.0047
13,-72.0536
14,-72.369
15,-72.3566
16,-71.5967
17,-72.2953
18,-72.5861
19,-72.9321
20,-72.6947
21,-72.4623
22,-72.1796
23,-72.3275
24,-71.7061
25,-72.1495
26,-72.3948
27,-72.5051
28,-72.5766
29,-72.1225
30,-72.2626
31,-72.7019
32,-72.1669
33,-72.2552
34,-71.9986
35,-72.3616
36,-72.1277
37,-72.4104
38,-72.1856
39,-72.4586
40,-72.6523
41,-72.2569
42,-72.1839
43,-72.6667
44,-72.5521
45,-72.2546
46,-72.5462
47,-72.2309
48,-72.0915
49,-72.1171
50,-72.1866
51,-72.2487
52,-72.3651
53,-71.8269
54,-72.0742
55,-71.8852
56,-72.4404
57,-72.0644
58,-71.9606
59,-72.3757
60,-71.8988
61,-72.5251
62,-72.2936
63,-72.148
64,-72.2802
65,-72.1507
66,-71.6736
67,-72.4324
68,-71.8815
69,-72.3092
70,-72.6864
71,-72.1471
72,-72.3222
73,-72.1255
74,-72.3456
75,-72.148
76,-72.7942
77,-72.1058
78,-71.872
79,-71.8532
80,-72.1212
81,-72.1234
82,-72.0793
83,-72.3189
84,-72.2454
85,-71.9872
86,-72.5522
87,-72.3229
88,-72.4786
89,-72.4047
90,-71.7318
91,-72.0508
92,-71.8603
93,-72.0594
94,-72.0289
95,-72.6135
96,-72.2635
97,-72.0668
98,-71.7237
99,-72.4618
100,-72.7231
101,-71.6297
102,-72.0266
103,-71.8526
104,-71.7482
105,-72.1625
106,-71.9047
107,-71.7521
108,-72.318
109,-71.9346
110,-72.4388
111,-71.9014
112,-71.7967
113,-72.0785
114,-71.8162
115,-71.7898
116,-72.2308
117,-71.5119
118,-71.4947
119,-71.7423
120,-71.6912
121,-71.984
122,-71.802
123,-71.4556
124,-72.1563
125,-71.7485
126,-71.6385
127,-71.8373
128,-71.2976
129,-71.9413
130,-71.7852
131,-71.6475
132,-71.9871
133,-71.2805
134,-71.1798
135,-71.3327
136,-71.264
137,-71.5001
138,-71.0989
139,-70.8933
140,-71.0533
141,-71.1432
142,-71.422
143,-71.0283
144,-71.6956
145,-70.5391
146,-70.7121
147,-71.061
148,-70.9556
149,-70.7935
150,-71.2494
151,-70.8147
152,-70.5936
153,-70.4835
154,-71.006
155,-71.1351
156,-71.071
157,-71.0004
158,-71.3263
159,-70.8892
160,-70.5873
161,-71.1943
162,-70.5853
163,-70.7534
164,-70.6315
165,-71.0644
166,-70.4136
167,-70.5576
168,-70.2131
169,-70.8643
170,-70.4915
171,-70.0146
172,-70.0592
173,-70.192
174,-70.1373
175,-70.0166
176,-69.9156
177,-70.3541
178,-70.7494
179,-69.5997
180,-69.8317
181,-69.9108
182,-69.7058
183,-70.4365
184,-69.8244
185,-69.543
186,-69.1784
187,-69.6514
188,-69.3932
189,-69.657
190,-70.0469
191,-69.5929
192,-69.2384
193,-69.5701
194,-69.3289
195,-69.0806
196,-69.4552
197,-69.3022
198,-69.0995
199,-69.7067
200,-69.2096
201,-68.6566
202,-68.9514
203,-69.0826
204,-69.6951
205,-68.9426
206,-68.6973
207,-68.9315
208,-68.829
209,-68.8512
210,-69.0556
211,-69.0105
212,-68.9937
213,-68.5818
214,-68.4988
215,-68.3531
216,-68.1638
217,-68.5788
218,-67.923
219,-68.2481
220,-67.9553
221,-68.5949
222,-67.9358
223,-68.2916
224,-67.8841
225,-67.9299
226,-67.8747
227,-67.9161
228,-67.2814
229,-67.5701
230,-67.9971
231,-67.6926
232,-67.6256
233,-67.6972
234,-66.9138
235,-66.6677
236,-67.5445
237,-67.4704
238,-67.3671
239,-67.0494
240,-67.3618
241,-67.1898
242,-67.0313
243,-67.0332
244,-66.711
245,-67.5773
246,-66.5292
247,-66.9768
248,-66.8282
249,-66.9293
250,-66.1867
251,-66.8247
252,-66.7214
253,-66.3843
254,-66.4199
255,-66.39
256,-66.1442
257,-65.8677
258,-66.5647
259,-66.2143
260,-66.4953
261,-65.9524
262,-65.7313
263,-66.3666
264,-66.3072
265,-66.0286
266,-66.0881
267,-65.9719
268,-65.9517
269,-65.7754
270,-66.3859
271,-65.8103
272,-65.579
273,-65.3061
274,-65.5046
275,-64.9159
276,-64.7452
277,-65.153
278,-65.356
279,-65.1827
280,-65.0211
281,-65.039
282,-65.4122
283,-65.1506
284,-65.1708
285,-65.3129
286,-64.8074
287,-64.9485
288,-64.454
289,-64.8817
290,-64.9351
291,-64.4427
292,-64.8715
293,-65.2626
294,-64.0142
295,-64.8226
296,-64.4793
297,-64.2313
298,-64.4319
299,-64.8105
300,-63.4119
301,-64.0763
302,-64.334
303,-63.9983
304,-63.6983
305,-64.0876
306,-64.2364
307,-64.0695
308,-63.9638
309,-64.0329
310,-64.1561
311,-63.0251
312,-63.8766
313,-63.543
314,-63.1957
315,-63.3628
316,-64.1245
317,-63.453
318,-63.5129
319,-63.0744
320,-63.1165
321,-62.9037
322,-63.6962
323,-63.4281
324,-63.3412
325,-63.0878
326,-63.3654
327,-63.4397
328,-63.1256
329,-62.6849
330,-63.1328
331,-63.3945
332,-62.4239
333,-63.3297
334,-63.1168
335,-62.7607
336,-62.8772
337,-62.8185
338,-62.4107
339,-62.2982
340,-62.6474
341,-62.5835
342,-62.2787
343,-61.9578
344,-61.9517
345,-62.3937
346,-61.6901
347,-61.9114
348,-62.071
349,-62.0287
350,-62.1783
351,-62.338
352,-62.089
353,-61.675
354,-61.6578
355,-62.0343
356,-61.3177
357,-61.3001
358,-61.7053
359,-61.8833
360,-61.4796
361,-61.4699
362,-60.9773
363,-61.326
364,-62.1974
365,-61.3392
366,-61.5393
367,-60.7149
368,-61.0721
369,-61.3375
370,-61.4076
371,-61.2961
372,-61.0478
373,-61.0132
374,-61.2187
375,-60.7808
376,-61.2742
377,-61.4025
378,-61.0595
379,-60.5687
380,-60.8843
381,-60.7068
382,-60.599
383,-60.2195
384,-60.4616
385,-60.5107
386,-60.6157
387,-60.2123
388,-60.4782
389,-60.8553
390,-59.8154
391,-60.4855
392,-60.3933
393,-59.943
394,-60.2849
395,-60.0809
396,-59.9841
397,-60.1968
398,-60.5032
399,-59.9369
400,-59.4571
401,-59.7073
402,-59.7321
403,-59.8368
404,-60.0139
405,-59.3323
406,-59.9052
407,-59.7084
408,-59.3725
409,-59.6566
410,-59.1238
411,-59.6454
412,-59.8485
413,-59.3113
414,-59.7506
415,-59.6564
416,-59.1173
417,-58.6082
418,-58.8961
419,-58.9874
420,-59.0065
421,-59.2636
422,-59.537
423,-59.5382
424,-59.4684
425,-58.9656
426,-58.7579
427,-59.008
428,-58.5358
429,-58.9098
430,-58.6222
431,-58.7254
432,-58.4933
433,-58.6956
434,-58.5551
435,-58.6835
436,-58.389
437,-58.869
438,-58.4027
439,-58.1902
440,-58.1884
441,-58.2703
442,-58.2468
443,-58.1135
444,-58.0988
445,-57.9424
446,-58.3626
447,-57.9306
448,-58.3117
449,-57.8208
450,-57.9152
451,-58.2588
452,-57.9122
453,-58.0771
454,-57.8123
455,-57.8446
456,-57.5406
457,-57.699
458,-58.0534
459,-58.2526
460,-57.8276
461,-57.9438
462,-57.2188
463,-57.3113
464,-57.2776
465,-57.5695
466,-57.5076
467,-57.2746
468,-57.4175
469,-57.2492
470,-57.6609
471,-57.6707
472,-57.4777
473,-57.1753
474,-57.4942
475,-57.4016
476,-57.4004
477,-56.8791
478,-56.9614
479,-57.6849
480,-57.0736
481,-57.2062
482,-56.6757
483,-56.9432
484,-56.6299
485,-56.4942
486,-57.0433
487,-56.584
488,-56.5287
489,-56.7974
490,-57.0685
491,-56.7862
492,-56.8413
493,-56.2069
494,-56.0431
495,-56.6736
496,-56.0974
497,-56.5706
498,-56.5321
