Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1,-77.9084
2,-77.8379
3,-77.9307
4,-77.7452
5,-77.6451
6,-77.5987
7,-77.7667
8,-77.7163
9,-77.9083
10,-77.4074
11,-77.7272
12,-77.358
13,-77.1656
14,-77.3164
15,-77.2956
16,-77.5024
17,-77.2368
18,-77.5803
19,-77.3745
20,-77.5669
21,-76.9774
22,-77.3726
23,-76.8346
24,-76.4576
25,-76.9411
26,-76.8865
27,-76.2125
28,-76.2934
29,-76.0344
30,-76.2042
31,-76.1266
32,-76.5635
33,-75.9039
34,-75.8341
35,-75.7887
36,-75.4366
37,-75.0959
38,-75.1065
39,-74.7797
40,-74.6149
41,-74.2346
42,-74.3373
43,-74.0735
44,-73.6677
45,-73.69
46,-73.8309
47,-73.1221
48,-72.9582
49,-72.9265
50,-72.9601
51,-72.3889
52,-72.253
53,-71.73
54,-71.7508
55,-71.4677
56,-71.3337
57,-70.8506
58,-70.8892
59,-70.4319
60,-65.2075
61,-70.161
62,-70.3814
63,-69.88
64,-69.2402
65,-69.7536
66,-69.6736
67,-68.9077
68,-68.4901
69,-67.9673
70,-67.685
71,-67.5507
72,-68.2787
73,-66.8788
74,-67.5323
75,-67.5469
76,-66.6717
77,-66.8116
78,-66.4389
79,-66.1542
80,-66.3976
81,-65.8711
82,-65.4311
83,-65.2729
84,-65.551
85,-64.9665
86,-64.7806
87,-65.1337
88,-64.6039
89,-64.4333
90,-64.2606
91,-63.7462
92,-63.8338
93,-63.8738
94,-63.475
95,-63.7117
96,-63.113
97,-63.2807
98,-62.7828
99,-62.9921
100,-62.7182
101,-62.5229
102,-62.1982
103,-62.2464
104,-62.2683
105,-62.3077
106,-61.7658
107,-61.3494
108,-61.1307
109,-61.0885
110,-61.0522
111,-60.8743
112,-60.5097
113,-60.5993
114,-60.355
115,-59.599
116,-60.3233
117,-59.6914
118,-59.4868
119,-59.6345
120,-59.4792
121,-59.7239
122,-59.1781
123,-58.9379
124,-59.1049
125,-59.0331
126,-59.1371
127,-58.7998
128,-58.951
129,-58.1015
130,-58.78
131,-57.5495
132,-57.8542
133,-57.6126
134,-57.5941
135,-57.8696
136,-57.8503
137,-57.3609
138,-57.2391
139,-56.9897
140,-57.5056
141,-57.1511
142,-56.9748
143,-56.8944
144,-57.2608
145,-56.8268
146,-56.4736
147,-56.4566
148,-56.4619
149,-55.9541
150,-56.562
151,-55.8008
152,-56.4802
153,-55.6639
154,-55.863
155,-55.8353
156,-55.267
157,-55.596
158,-55.3847
159,-55.4405
160,-55.0776
161,-55.1375
162,-54.8742
163,-54.829
164,-54.7439
165,-55.1267
166,-54.7783
167,-54.5998
168,-54.3384
169,-54.5358
170,-54.0538
171,-53.9968
172,-53.8178
173,-53.5801
174,-53.9928
175,-53.6468
176,-53.3054
177,-53.969
178,-53.5107
179,-53.1352
180,-52.2302
181,-53.0329
182,-53.1048
183,-53.4098
184,-53.4771
185,-53.1983
186,-53.0022
187,-53.0748
188,-52.0487
189,-53.0698
190,-52.7045
191,-52.5991
192,-51.6784
193,-52.2719
194,-52.8743
195,-51.8162
196,-52.3286
197,-52.2468
198,-51.9344
199,-51.5987
200,-52.1849
201,-51.7763
202,-52.1935
203,-51.3946
204,-51.6272
205,-51.2138
206,-51.3895
207,-51.0685
208,-50.8883
209,-51.4298
210,-50.3897
211,-51.0396
212,-50.8921
213,-51.2012
214,-50.1809
215,-50.3662
216,-50.8883
217,-50.8855
218,-50.5058
219,-50.0233
220,-50.1597
221,-50.3183
222,-50.3249
223,-50.2871
224,-49.8775
225,-50.4759
226,-50.4424
227,-50.0245
228,-49.3657
229,-50.1404
230,-49.9281
231,-49.88
232,-49.6673
233,-49.9676
234,-50.0795
235,-49.4437
236,-50.1875
237,-49.8378
238,-50.3195
239,-49.509
240,-48.8044
241,-49.5681
242,-48.8655
243,-48.8068
244,-48.7553
245,-49.1986
246,-49.3584
247,-48.8671
248,-49.2683
249,-48.9185
250,-49.3246
251,-48.5014
252,-48.6789
253,-49.2698
254,-49.004
255,-48.9214
256,-48.6331
257,-48.7059
258,-48.8559
259,-48.3942
260,-48.1709
261,-48.6214
262,-48.1059
263,-48.6672
264,-48.837
265,-48.4536
266,-48.1732
267,-48.3206
268,-47.8317
269,-48.1108
270,-48.0653
271,-47.9548
272,-48.269
273,-48.4929
274,-47.9345
275,-47.6617
276,-47.7583
277,-47.7782
278,-48.1048
279,-48.0498
280,-47.548
281,-48.0523
282,-47.7348
283,-47.9266
284,-47.6136
285,-47.2933
286,-47.8833
287,-47.3304
288,-47.4741
289,-47.8497
290,-46.8877
291,-47.4647
292,-47.6639
293,-47.4858
294,-47.0525
295,-47.1509
296,-47.7964
297,-47.1187
298,-46.7891
299,-47.0716
300,-46.6633
301,-47.5423
302,-47.4045
303,-46.7277
304,-47.4627
305,-46.9315
306,-47.0892
307,-47.4265
308,-46.9746
309,-47.0759
310,-47.2729
311,-47.4102
312,-47.4839
313,-46.7839
314,-46.5816
315,-46.3364
316,-46.8769
317,-46.74
318,-46.9817
319,-46.0859
320,-46.4117
321,-46.6804
322,-46.5787
323,-46.6309
324,-46.1406
325,-46.8936
326,-46.6618
327,-46.7035
328,-46.2126
329,-46.4217
330,-46.7331
331,-46.6563
332,-46.5499
333,-46.6713
334,-46.5241
335,-45.7761
336,-46.2621
337,-46.4433
338,-46.6819
339,-46.5118
340,-46.607
341,-45.6156
342,-45.9171
343,-46.0447
344,-46.6985
345,-46.0208
346,-46.2649
347,-46.1642
348,-45.9534
349,-45.7703
350,-46.2796
351,-45.7287
352,-46.1656
353,-45.9194
354,-45.9944
355,-46.0653
356,-45.6557
357,-45.8826
358,-45.5388
359,-46.1488
360,-46.3071
361,-45.8185
362,-46.2293
363,-45.9243
364,-45.6251
365,-45.592
366,-45.5311
367,-45.6507
368,-45.5445
369,-45.7677
370,-45.5762
371,-45.2394
372,-45.7429
373,-46.1028
374,-45.8493
375,-45.7561
376,-45.6991
377,-45.3646
378,-45.2249
379,-45.4258
380,-45.9272
381,-45.5617
382,-45.3343
383,-45.5792
384,-45.9055
385,-46.19
386,-45.2211
387,-45.9301
388,-45.7745
389,-45.5623
390,-44.9555
391,-45.4454
392,-45.4767
393,-45.3048
394,-45.1826
395,-45.6446
396,-45.1216
397,-44.8587
398,-44.9513
399,-45.4631
400,-45.1994
401,-45.6826
402,-45.379
403,-45.5945
404,-45.3934
405,-45.1505
406,-45.0951
407,-45.1841
408,-45.4351
409,-45.0445
410,-45.7687
411,-45.5007
412,-45.3308
413,-44.9964
414,-45.058
415,-45.6737
416,-45.262
417,-45.0434
418,-45.6461
419,-44.7453
420,-44.9453
421,-45.3313
422,-45.4455
423,-45.2953
424,-45.3601
425,-45.2982
426,-45.1608
427,-45.3267
428,-44.8324
429,-44.8982
430,-45.0261
431,-45.1379
432,-45.2681
433,-44.7918
434,-45.5486
435,-45.5043
436,-45.4643
437,-44.9891
438,-45.1661
439,-44.6044
440,-45.138
441,-45.2986
442,-44.558
443,-45.1143
444,-45.4327
445,-44.9258
446,-44.8327
447,-45.2572
448,-44.9718
449,-44.7122
450,-45.2198
451,-45.2099
452,-45.2182
453,-44.7846
454,-44.7489
455,-45.6581
456,-44.7697
457,-44.4636
458,-45.0211
459,-45.1375
460,-44.9265
461,-45.1492
462,-44.6923
