Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1,-65.7611
2,-65.6261
3,-65.1967
4,-64.3827
5,-62.4577
6,-60.5957
7,-57.8968
8,-54.9976
9,-52.9255
10,-51.504
11,-50.1197
12,-48.8372
13,-47.8597
14,-47.296
15,-46.3755
16,-46.3297
17,-45.6567
18,-45.2382
19,-45.5295
20,-44.6074
21,-44.465
22,-43.9156
23,-44.6004
24,-44.5791
25,-44.209
26,-43.3291
27,-44.0724
28,-43.8624
29,-43.6233
30,-43.6387
31,-43.5528
32,-43.754
33,-43.5993
34,-43.5931
35,-43.7399
36,-43.4025
37,-43.5634
38,-42.8516
39,-43.1362
40,-43.4799
41,-42.7965
42,-43.0586
43,-43.2963
44,-43.3996
45,-43.6459
46,-42.8782
47,-43.5107
48,-43.5809
49,-42.786
50,-43.3067
51,-43.3184
52,-43.2495
53,-43.9227
54,-43.7606
55,-43.7732
56,-43.065
57,-43.6128
58,-43.9139
59,-42.9681
60,-36.7231
61,-43.605
62,-42.561
63,-43.1743
64,-43.4776
65,-43.3872
66,-43.7491
67,-43.0127
68,-43.2511
69,-43.1485
70,-43.8878
71,-43.33
72,-43.7931
73,-43.4368
74,-43.5332
75,-43.3518
76,-43.4962
77,-44.2879
78,-43.8618
79,-43.4172
80,-43.2587
81,-43.478
82,-43.3891
83,-43.61
84,-43.2404
85,-43.9228
86,-43.3434
87,-43.6396
88,-43.5354
89,-43.3282
90,-43.4083
91,-43.4648
92,-43.2148
93,-42.9985
94,-43.777
95,-43.4849
96,-43.5202
97,-43.47
98,-43.3596
99,-43.7687
100,-43.8539
101,-43.1854
102,-43.6603
103,-43.5264
104,-43.7971
105,-43.8562
106,-43.7816
107,-43.9237
108,-44.0976
109,-43.957
110,-43.7124
111,-43.5153
112,-43.5754
113,-43.5434
114,-44.2615
115,-43.9607
116,-43.7502
117,-44.0718
118,-44.1889
119,-43.5261
120,-43.1839
121,-43.6763
122,-44.1177
123,-43.5554
124,-43.8378
125,-43.6777
126,-43.9677
127,-44.2109
128,-43.258
129,-43.305
130,-43.8181
131,-43.6462
132,-43.7131
133,-43.9649
134,-43.5629
135,-44.0934
136,-43.8586
137,-43.5947
138,-44.1226
139,-44.0192
140,-43.6248
141,-43.7034
142,-44.1397
143,-44.1453
144,-43.8424
145,-43.8944
146,-44.144
147,-44.2069
148,-44.3465
149,-43.4645
150,-43.9863
151,-44.3907
152,-44.2118
153,-43.7054
154,-44.0646
155,-44.3668
156,-44.0192
157,-43.9338
158,-44.0438
159,-44.0902
160,-44.1726
161,-43.9284
162,-44.356
163,-44.3216
164,-44.1827
165,-43.8943
166,-44.4185
167,-44.5105
168,-43.7157
169,-44.3397
170,-44.2914
171,-44.1737
172,-43.7525
173,-44.1677
174,-43.9041
175,-45.0031
176,-44.6343
177,-44.7506
178,-43.9037
179,-44.2382
180,-43.1451
181,-43.9376
182,-44.1579
183,-44.43
184,-44.4372
185,-44.4344
186,-44.1808
187,-43.6292
188,-44.0794
189,-44.4532
190,-44.8826
191,-44.2261
192,-44.3947
193,-44.1754
194,-43.9321
195,-44.1657
196,-44.6998
197,-44.0266
198,-44.5036
199,-44.6982
200,-44.1336
201,-44.9502
202,-44.3302
203,-45.0433
204,-44.9008
205,-44.4444
206,-44.3624
207,-44.3109
208,-44.8131
209,-44.6248
210,-44.563
211,-44.5791
212,-44.3806
213,-44.6741
214,-44.6023
215,-45.0225
216,-45.2946
217,-44.3497
218,-44.7961
219,-44.7256
220,-44.7458
221,-44.8512
222,-45.0689
223,-45.0685
224,-44.7646
225,-44.9339
226,-44.4746
227,-45.1076
228,-44.6325
229,-45.1141
230,-44.9876
231,-45.6423
232,-45.2481
233,-44.2962
234,-44.8121
235,-44.4339
236,-44.6289
237,-45.0103
238,-44.866
239,-45.1729
240,-45.5681
241,-44.8932
242,-44.9458
243,-45.1874
244,-45.4249
245,-45.5537
246,-45.2538
247,-45.3999
248,-44.871
249,-45.2831
250,-45.1321
251,-45.3633
252,-45.2485
253,-45.0497
254,-45.0713
255,-44.9631
256,-45.553
257,-45.389
258,-45.1179
259,-45.8093
260,-45.4452
261,-44.9678
262,-45.1983
263,-45.3205
264,-44.8496
265,-45.4464
266,-45.6255
267,-45.6538
268,-45.3012
269,-45.237
270,-45.5792
271,-45.7459
272,-46.1203
273,-45.7456
274,-45.5706
275,-45.9359
276,-45.7607
277,-45.9234
278,-46.2059
279,-45.6434
280,-45.6459
281,-45.1789
282,-45.3733
283,-45.9226
284,-45.9579
285,-46.0997
286,-46.124
287,-45.5708
288,-46.1038
289,-45.8438
290,-45.9008
291,-46.2824
292,-46.3232
293,-46.2503
294,-46.0522
295,-45.7982
296,-45.851
297,-46.0315
298,-46.3557
299,-46.2655
300,-45.6785
301,-45.8376
302,-46.0486
303,-46.403
304,-46.556
305,-46.1427
306,-46.2622
307,-46.1901
308,-46.0445
309,-46.247
310,-46.5675
311,-46.0485
312,-46.7698
313,-46.5356
314,-46.2193
315,-46.7216
316,-47.1877
317,-46.5464
318,-47.1091
319,-46.5736
320,-45.839
321,-46.7661
322,-46.4465
323,-46.555
324,-47.3591
325,-46.6534
326,-46.7159
327,-46.767
328,-46.8596
329,-47.0153
330,-46.8101
331,-47.0603
332,-46.8866
333,-47.5324
334,-47.2532
335,-47.0249
336,-47.1619
337,-46.8809
338,-47.5408
339,-46.9112
340,-47.3385
341,-46.6164
342,-47.5015
343,-47.2874
344,-47.4725
345,-47.8183
346,-47.7661
347,-47.3876
348,-47.285
349,-47.5652
350,-47.2826
351,-47.6913
352,-47.456
353,-47.9021
354,-47.9883
355,-47.6695
356,-48.217
357,-47.7543
358,-47.6241
359,-47.9918
360,-47.5428
361,-47.8861
362,-47.4372
363,-47.852
364,-47.8642
365,-48.1267
366,-48.2541
367,-48.2115
368,-48.2979
369,-47.7992
370,-48.1507
371,-48.3088
372,-48.0861
373,-48.3122
374,-48.1604
375,-48.124
376,-48.2733
377,-48.3731
378,-47.6125
379,-48.2734
380,-48.2359
381,-48.6511
382,-47.8612
383,-48.4207
384,-48.5029
385,-48.5296
386,-48.4736
387,-48.6789
388,-48.5633
389,-48.7822
390,-49.1515
391,-48.5301
392,-48.2136
393,-49.1866
394,-48.8922
395,-48.9606
396,-49.4613
397,-48.7949
398,-48.8532
399,-49.5756
400,-49.1398
401,-48.8601
402,-49.2912
403,-49.1717
404,-48.7186
405,-48.9497
406,-49.3201
407,-48.9003
408,-49.066
409,-49.2251
410,-48.8763
411,-49.067
412,-49.8438
413,-49.5637
414,-48.976
415,-49.6102
416,-49.7668
417,-49.2301
418,-49.0501
419,-49.3023
420,-49.8404
421,-49.3592
422,-49.4839
423,-49.8899
424,-49.7927
425,-49.593
426,-50.4004
427,-49.4242
428,-50.1232
429,-49.3479
430,-49.6653
431,-50.1605
432,-49.9529
433,-50.0019
434,-49.9328
435,-50.01
436,-50.4911
437,-49.9911
438,-49.9925
439,-50.3934
440,-50.2363
441,-50.1474
442,-50.0618
443,-50.1116
444,-50.6955
445,-50.3979
446,-50.0195
447,-50.4798
448,-50.8246
449,-50.9405
450,-50.3651
451,-50.4102
452,-50.1169
453,-50.4265
454,-50.6017
455,-50.9283
456,-50.4953
457,-50.4497
458,-50.4571
459,-50.5478
460,-50.4404
461,-50.7605
462,-51.0593
463,-51.1317
464,-50.5241
465,-51.124
466,-51.0948
467,-50.6703
468,-51.0383
469,-50.8025
470,-51.3153
471,-50.8025
472,-51.2996
473,-51.1405
474,-50.7909
475,-51.2204
476,-51.4698
477,-50.9984
478,-51.283
479,-51.1382
480,-51.0952
481,-50.9882
482,-51.0916
483,-51.3654
484,-51.0091
485,-51.3256
486,-51.4629
487,-51.393
488,-52.1616
489,-51.5466
490,-51.5631
491,-51.7132
492,-52.2605
493,-51.3909
494,-51.6157
495,-51.5478
496,-51.8459
497,-51.9566
498,-51.501
499,-52.079
500,-52.2216
501,-52.3156
502,-51.8284
503,-51.3658
504,-51.7156
505,-52.4609
506,-51.8
507,-52.5144
508,-51.997
509,-52.8077
510,-52.5549
511,-51.8675
512,-51.8294
513,-52.0665
514,-52.7771
515,-52.7809
516,-52.4086
517,-52.4689
518,-52.9419
519,-52.5491
520,-52.5294
521,-52.7237
522,-51.999
523,-52.7194
524,-51.8898
525,-52.6799
526,-52.7755
527,-52.5336
528,-52.7944
529,-52.5141
530,-52.76
531,-52.6224
532,-53.1815
533,-52.6485
534,-53.2058
535,-52.6305
536,-52.8514
537,-53.1815
538,-52.8682
539,-52.5913
540,-52.5831
541,-52.9373
542,-53.5437
543,-53.0921
544,-53.4786
545,-53.3655
546,-53.216
547,-53.0156
548,-53.37
549,-53.2926
550,-53.0777
551,-53.9608
552,-53.5497
553,-53.5006
554,-53.6018
555,-53.5935
556,-53.72
557,-53.7159
558,-53.6011
559,-54.0503
560,-53.4447
561,-54.0496
562,-53.3939
563,-53.2481
564,-53.343
565,-53.8559
566,-53.6213
567,-53.8112
568,-53.5241
569,-54.0409
570,-54.1188
571,-54.0613
572,-53.7891
573,-53.6762
574,-53.9296
575,-54.1287
576,-53.4603
577,-54.1569
578,-53.7479
579,-54.3593
580,-53.844
581,-54.0361
582,-53.9088
583,-54.1402
584,-53.9893
585,-54.5014
586,-54.5803
587,-54.4481
588,-54.5716
589,-54.8544
590,-53.9912
591,-54.2606
592,-54.7527
593,-54.5416
594,-54.6616
595,-54.2256
596,-54.8632
597,-54.424
598,-54.4987
599,-54.5484
600,-54.8881
601,-54.3265
602,-55.1433
603,-54.8661
604,-54.6301
605,-55.0162
606,-54.3801
607,-54.9078
608,-54.6789
609,-54.7027
610,-55.0772
611,-54.5288
612,-54.9181
613,-55.2259
614,-54.8787
615,-54.9652
616,-54.999
617,-54.948
618,-55.2945
619,-55.343
620,-55.2387
621,-55.1
622,-54.8522
623,-55.1132
624,-55.4965
625,-55.6696
626,-55.7573
627,-55.3769
628,-55.4563
629,-55.2952
630,-55.1858
631,-54.9408
632,-55.2243
633,-55.8001
634,-55.5026
635,-55.5829
636,-55.5713
637,-55.4652
638,-55.7551
639,-55.6506
640,-55.6417
641,-55.4976
642,-55.7285
643,-55.5165
644,-56.1365
645,-56.2233
646,-56.0061
647,-55.8194
648,-56.1661
649,-56.3489
650,-55.3586
651,-56.1809
652,-56.2991
653,-55.7106
654,-55.9174
655,-56.1074
656,-55.8459
657,-56.7342
658,-55.8802
659,-56.297
660,-56.0171
661,-56.5236
662,-56.4397
663,-56.4922
664,-56.8821
665,-56.3083
666,-56.8426
667,-56.4022
668,-56.2132
669,-56.8721
670,-56.3687
671,-55.944
672,-56.4922
673,-56.8929
674,-56.4084
675,-56.5409
676,-56.736
677,-56.886
678,-57.2365
679,-56.6544
680,-56.8509
681,-56.9309
682,-56.8492
683,-56.1501
684,-56.961
685,-56.6504
686,-56.9231
687,-57.1361
688,-57.0332
689,-57.0043
690,-57.2074
691,-56.8998
692,-57.749
693,-56.8243
694,-57.2533
695,-56.9642
696,-57.3752
697,-56.8067
698,-57.0935
699,-56.7024
700,-57.092
701,-57.379
702,-57.2264
703,-56.9333
704,-56.9617
705,-57.2425
706,-57.5514
707,-57.7536
708,-57.3648
709,-57.8821
710,-57.1644
711,-57.899
712,-57.7759
713,-57.7795
714,-58.0696
715,-57.2128
716,-57.441
717,-58.0053
718,-57.816
719,-57.5333
720,-57.6803
721,-57.9695
722,-58.0777
723,-57.5467
724,-57.8087
725,-57.8567
726,-57.9082
727,-58.4375
728,-57.6774
729,-57.5171
730,-57.8199
731,-57.8325
732,-57.4229
733,-58.304
734,-58.3358
735,-57.3977
736,-57.8508
737,-58.0494
738,-58.2175
739,-58.107
740,-57.891
741,-58.6958
742,-58.1088
743,-58.3229
744,-58.6607
745,-58.2938
746,-58.3802
747,-58.9979
748,-57.9971
749,-57.7711
750,-58.2406
751,-58.6267
752,-58.4524
753,-58.2584
754,-58.2276
755,-58.9172
756,-58.5728
757,-58.4603
758,-58.3873
759,-58.2606
760,-58.6465
761,-58.2383
762,-58.4902
763,-59.2442
764,-58.5846
765,-58.2695
766,-58.5719
767,-58.8107
768,-59.2356
769,-58.9181
770,-58.7191
771,-59.2852
772,-58.4436
773,-58.9395
774,-58.9415
775,-59.1716
776,-59.2092
777,-58.9516
778,-59.4039
779,-58.8019
780,-59.272
781,-58.7649
782,-59.4016
783,-59.4746
784,-59.086
785,-58.9674
786,-59.2409
787,-59.7149
788,-58.9667
789,-59.8649
790,-59.0736
791,-58.9706
792,-59.1497
793,-59.4061
794,-59.5837
795,-59.4783
796,-58.9789
797,-58.9969
798,-59.7203
799,-59.2529
800,-59.8485
801,-59.3331
802,-59.4073
803,-59.591
804,-59.45
805,-59.2645
806,-59.5516
807,-59.7414
808,-59.6032
809,-59.8403
810,-59.7552
811,-60.1188
812,-59.6176
813,-59.9719
814,-59.5869
815,-59.7254
816,-59.6082
817,-59.6275
818,-60.3313
819,-59.6803
820,-59.9509
821,-60.3899
822,-59.4995
823,-60.5815
824,-59.9528
825,-60.3213
826,-60.2191
827,-59.9055
828,-59.6675
829,-60.3796
830,-60.1157
831,-59.8889
832,-60.1988
833,-59.8068
834,-60.1154
835,-59.9464
836,-60.3352
837,-60.7326
838,-60.5888
839,-60.402
840,-60.2188
841,-59.971
842,-60.2837
843,-60.6633
844,-60.9384
845,-60.5298
846,-59.9235
847,-60.1205
848,-60.5851
849,-60.4219
850,-60.1317
851,-60.4714
852,-60.3224
853,-60.2201
854,-59.9623
855,-59.9851
856,-60.7297
857,-60.5721
858,-61.0117
859,-61.0506
860,-60.4243
861,-60.8084
862,-60.6599
863,-60.5997
864,-60.6054
865,-60.8881
866,-60.7906
867,-60.8499
868,-60.7408
869,-61.1126
870,-60.6107
871,-60.5839
