Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1,-54.0132
2,-53.8097
3,-53.854
4,-53.8516
5,-53.8606
6,-53.9008
7,-53.5792
8,-53.9548
9,-53.7612
10,-53.8069
11,-53.8901
12,-53.8324
13,-53.5332
14,-53.5767
15,-53.3894
16,-53.7659
17,-53.2518
18,-53.745
19,-53.8573
20,-53.5631
21,-53.8841
22,-53.8786
23,-53.8073
24,-53.612
25,-53.7846
26,-53.5835
27,-54.0045
28,-54.146
29,-54.2646
30,-53.7365
31,-54.1548
32,-53.9783
33,-54.2073
34,-53.6246
35,-54.0769
36,-53.817
37,-54.3487
38,-53.7594
39,-54.369
40,-53.9071
41,-54.1708
42,-53.9968
43,-53.7913
44,-53.56
45,-53.4855
46,-53.8548
47,-53.5664
48,-54.0352
49,-54.2372
50,-53.7044
51,-54.2685
52,-54.122
53,-54.2109
54,-54.1152
55,-54.4528
56,-54.1928
57,-53.9286
58,-53.4926
59,-53.8595
60,-53.8591
61,-53.9187
62,-53.7925
63,-54.1878
64,-53.9965
65,-54.0678
66,-54.3318
67,-53.8695
68,-53.6686
69,-53.8835
70,-53.36
71,-53.4643
72,-54.4737
73,-54.261
74,-53.759
75,-54.3437
76,-53.7403
77,-53.8892
78,-53.9836
79,-53.3406
80,-54.3495
81,-53.8446
82,-53.9032
83,-53.7086
84,-54.039
85,-53.9656
86,-53.8222
87,-54.1914
88,-54.4744
89,-53.3551
90,-54.1457
91,-53.9062
92,-53.9849
93,-53.8972
94,-53.9076
95,-53.4952
96,-53.879
97,-53.7935
98,-54.2201
99,-53.5328
100,-53.7458
101,-53.7908
102,-53.6708
103,-54.136
104,-54.1305
105,-53.9158
106,-54.1532
107,-53.9678
108,-53.5128
109,-53.5509
110,-53.803
111,-53.948
112,-54.0806
113,-53.6794
114,-53.8433
115,-54.1992
116,-54.0205
117,-53.654
118,-53.539
119,-53.4208
120,-53.6262
121,-53.8742
122,-54.1524
123,-53.5273
124,-53.6655
125,-53.7677
126,-53.5807
127,-54.109
128,-53.5973
129,-53.9596
130,-54.2983
131,-53.9116
132,-54.1888
133,-53.874
134,-53.6534
135,-53.8105
136,-53.862
137,-53.4248
138,-53.652
139,-53.4646
140,-53.3597
141,-53.5558
142,-53.9209
143,-53.8633
144,-53.935
145,-53.643
146,-53.9033
147,-53.7784
148,-53.631
149,-53.6167
150,-53.9757
151,-54.0377
152,-53.9296
153,-53.7169
154,-53.7263
155,-53.7835
156,-54.2461
157,-54.1895
158,-54.1243
159,-53.7021
160,-54.1008
161,-53.6766
162,-54.0027
163,-53.8338
164,-53.5684
165,-53.7432
166,-53.8812
167,-53.8549
168,-53.8937
169,-54.0398
170,-54.0249
171,-53.636
172,-53.7895
173,-54.1838
174,-53.8646
175,-53.8376
176,-53.9556
177,-53.4115
178,-53.7839
179,-53.4922
180,-53.6769
181,-53.837
182,-54.0944
183,-54.1583
184,-53.9143
185,-53.4442
186,-53.4653
187,-53.6692
188,-53.5418
189,-53.9539
190,-53.7379
191,-54.1441
