Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1,-72.6046
2,-72.5634
3,-72.6033
4,-72.4843
5,-72.3657
6,-72.4851
7,-72.3028
8,-72.1293
9,-72.377
10,-72.0956
11,-72.0268
12,-71.7953
13,-71.6281
14,-71.3686
15,-71.2551
16,-70.9394
17,-70.7942
18,-69.9406
19,-69.6238
20,-68.8786
21,-68.4599
22,-68.2876
23,-67.3899
24,-66.9386
25,-66.1904
26,-65.7202
27,-64.8574
28,-64.5906
29,-64.4074
30,-63.9413
31,-63.1102
32,-62.6089
33,-62.0588
34,-61.5244
35,-60.8908
36,-60.6018
37,-60.3033
38,-60.0446
39,-59.7362
40,-59.2465
41,-58.4043
42,-58.1514
43,-58.1445
44,-57.4049
45,-56.9633
46,-56.8566
47,-56.3046
48,-56.2487
49,-55.9774
50,-55.6988
51,-54.8624
52,-55.1432
53,-54.2596
54,-54.2202
55,-54.0065
56,-53.7863
57,-53.5183
58,-52.8221
59,-52.9583
60,-47.0416
61,-52.076
62,-52.2376
63,-52.1289
64,-51.5601
65,-51.2964
66,-51.3574
67,-51.1275
68,-50.9458
69,-50.5384
70,-50.3224
71,-50.3412
72,-50.2623
73,-50.3072
74,-49.9675
75,-49.2638
76,-49.0916
77,-49.0685
78,-49.3695
79,-48.6815
80,-48.8707
81,-48.7342
82,-48.846
83,-48.2728
84,-48.4141
85,-48.3656
86,-48.2128
87,-48.2042
88,-47.9151
89,-47.7163
90,-47.4608
91,-47.2814
92,-47.5816
93,-47.4722
94,-47.3995
95,-47.1738
96,-47.1791
97,-47.1849
98,-46.8317
99,-47.2241
100,-46.8565
101,-46.8345
102,-46.7116
103,-46.351
104,-46.2609
105,-46.4916
106,-46.3782
107,-45.9862
108,-46.3205
109,-46.1816
110,-46.0964
111,-46.4689
112,-45.7023
113,-46.126
114,-45.8452
115,-45.8247
116,-44.9321
117,-45.5496
118,-45.3012
119,-45.3014
120,-45.1549
121,-45.2343
122,-45.7872
123,-45.6756
124,-45.1054
125,-45.259
126,-44.9411
127,-45.4653
128,-45.1622
129,-45.0608
130,-45.0116
131,-45.4128
132,-44.8059
133,-45.7649
134,-45.1903
135,-45.1148
136,-45.0134
137,-44.8818
138,-44.7808
139,-44.8826
140,-44.6698
141,-44.4567
142,-44.4866
143,-44.7601
144,-44.5807
145,-44.5782
146,-44.9585
147,-45.1503
148,-44.7086
149,-44.4828
150,-44.1244
151,-44.6056
152,-44.3566
153,-44.6018
154,-45.0101
155,-44.4821
156,-44.2906
157,-44.3266
158,-44.8495
159,-43.8567
160,-44.6945
161,-44.2968
162,-44.8899
163,-44.8078
164,-44.1532
165,-44.0228
166,-44.3734
167,-44.2206
168,-44.2006
169,-44.4845
170,-44.7036
171,-44.578
172,-44.57
173,-44.4933
174,-43.9052
175,-44.3647
176,-43.5153
177,-44.5591
178,-44.1378
179,-44.5015
180,-43.0753
181,-44.5213
182,-44.2816
183,-44.3878
184,-44.6231
185,-44.0872
186,-44.5656
187,-44.3241
188,-44.2295
189,-43.9486
190,-44.3854
191,-44.3934
192,-43.8917
193,-43.7671
194,-44.5906
195,-44.6342
196,-44.4438
197,-44.0332
198,-43.9129
199,-44.2201
200,-44.0501
201,-44.7922
202,-43.9587
203,-44.5348
204,-43.7367
205,-44.2356
206,-43.6819
207,-44.1406
208,-44.1801
209,-43.8985
210,-44.4792
211,-44.1515
212,-43.9533
213,-44.486
214,-44.3647
215,-44.3969
216,-44.5383
217,-44.4497
