Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
1,-68.7601
2,-68.6672
3,-68.6543
4,-68.5347
5,-68.2941
6,-68.2261
7,-67.5252
8,-66.6513
9,-65.9394
10,-64.5063
11,-62.8041
12,-61.2518
13,-60.0441
14,-58.506
15,-57.5094
16,-56.0052
17,-54.8413
18,-54.3287
19,-52.8103
20,-52.0715
21,-51.1766
22,-50.9084
23,-49.8695
24,-49.3097
25,-48.6361
26,-47.9802
27,-47.7882
28,-47.0653
29,-47.2796
30,-46.2181
31,-46.3424
32,-46.2459
33,-45.4831
34,-45.3294
35,-45.5011
36,-45.1187
37,-44.8713
38,-44.457
39,-44.4324
40,-44.0951
41,-44.4176
42,-44.6058
43,-43.7841
44,-44.4102
45,-43.932
46,-44.0491
47,-44.2746
48,-43.8424
49,-43.9772
50,-43.6429
51,-43.7946
52,-44.0655
53,-43.6425
54,-44.11
55,-43.6783
56,-43.8088
57,-44.6609
58,-44.0124
59,-43.8378
60,-36.983
61,-43.7862
62,-43.5601
63,-43.3399
64,-43.1509
65,-44.1513
66,-43.6485
67,-43.3827
68,-43.6868
69,-43.5944
70,-43.7018
71,-43.5144
72,-43.115
73,-44.0072
74,-43.7145
75,-43.4316
76,-43.6219
77,-43.2455
78,-43.1692
79,-43.3333
80,-43.3702
81,-43.9346
82,-43.696
83,-43.0182
84,-43.207
85,-43.7518
86,-43.9664
87,-43.2581
88,-43.6598
89,-44.2044
90,-43.5925
91,-43.5736
92,-43.7844
93,-43.5367
94,-43.6833
95,-43.6109
96,-43.9486
97,-43.5176
98,-43.9214
99,-43.5351
100,-43.7892
101,-43.6308
102,-43.9166
103,-43.7232
104,-44.1738
105,-43.3529
106,-43.2793
107,-43.2888
108,-43.1009
109,-43.3619
110,-43.7489
111,-43.5998
112,-43.988
113,-43.6754
114,-43.8288
115,-43.8184
116,-43.9671
117,-43.4434
118,-43.8165
119,-43.4083
120,-43.8278
121,-43.5561
122,-43.6295
123,-43.1999
124,-43.6614
125,-43.5833
126,-43.9686
127,-43.3572
128,-43.933
129,-43.884
130,-43.5268
131,-43.7595
132,-43.4212
133,-43.5826
134,-43.6524
135,-43.759
136,-43.4131
137,-43.978
138,-43.7487
139,-43.5025
140,-43.6617
141,-44.3402
142,-43.5655
143,-44.0232
144,-43.966
145,-44.0935
146,-43.986
147,-43.9753
148,-43.8539
149,-44.2385
150,-43.7579
151,-43.896
152,-43.6091
153,-43.7625
154,-43.6158
155,-44.1753
156,-43.5768
157,-43.797
158,-43.8073
159,-43.6741
160,-43.9859
161,-43.8536
162,-43.8794
163,-44.3069
164,-43.9857
165,-43.7842
166,-43.4512
167,-43.6712
168,-43.8514
169,-43.9719
170,-43.499
171,-43.9838
172,-43.3824
173,-43.7857
174,-43.9312
175,-43.8144
176,-44.0438
177,-43.9814
178,-43.7354
179,-43.5772
180,-42.0087
181,-43.8357
182,-43.7305
183,-44.0396
184,-43.9269
185,-44.2209
186,-43.6799
187,-43.6777
188,-43.7741
189,-43.8851
190,-43.7667
191,-43.9206
192,-44.1194
193,-43.5697
194,-44.334
195,-43.8429
196,-44.1065
197,-43.6441
198,-43.7439
199,-44.2414
200,-43.8783
201,-43.7307
202,-43.3693
203,-44.0096
204,-43.9746
205,-44.0972
206,-43.696
207,-44.066
208,-43.9764
209,-44.4608
210,-43.835
211,-43.7353
212,-43.7794
213,-44.0658
214,-43.9687
215,-44.1075
216,-44.053
217,-44.2902
218,-43.9245
219,-43.6594
220,-43.8316
221,-43.4756
222,-43.9628
223,-44.5329
224,-44.0613
225,-44.0502
226,-44.0129
227,-43.6961
228,-44.0391
229,-43.9533
230,-44.7173
231,-43.844
232,-44.312
233,-44.006
234,-44.6679
235,-44.0143
236,-43.703
237,-44.2916
238,-43.9897
239,-43.7985
240,-44.0769
241,-44.2755
242,-43.9373
243,-44.0877
244,-43.9026
245,-43.5442
246,-43.9815
247,-44.1506
248,-44.2484
249,-43.8566
250,-43.939
251,-43.5631
252,-44.1072
253,-44.083
254,-44.3599
255,-44.1526
256,-44.0052
257,-44.1917
258,-44.1596
259,-44.1648
260,-44.009
261,-43.8004
262,-44.0062
263,-44.1489
264,-44.3113
265,-43.964
266,-44.4277
267,-44.3416
268,-44.3913
269,-43.9578
270,-43.9154
271,-44.4652
272,-43.9249
273,-44.4919
274,-43.3602
275,-44.4316
276,-43.8654
277,-44.1872
278,-44.0087
279,-44.382
280,-44.0103
281,-44.0986
282,-44.3791
283,-44.01
284,-43.5255
285,-44.0397
286,-43.5805
287,-44.3915
288,-43.735
289,-44.1456
290,-43.9677
291,-43.902
292,-44.0775
293,-43.8963
294,-44.0607
295,-44.7761
296,-44.2663
297,-43.8592
298,-44.3777
299,-43.4442
300,-43.4297
301,-44.784
302,-44.3446
303,-44.5635
304,-44.2047
305,-44.4931
306,-44.0248
307,-44.0962
308,-43.4983
309,-44.0922
310,-44.4852
311,-43.9924
312,-44.0194
313,-43.9345
314,-44.0144
315,-44.2615
316,-44.168
317,-44.3587
318,-43.9411
319,-44.0785
320,-44.2804
321,-44.3221
322,-43.8195
323,-44.2289
324,-44.2102
325,-44.4532
326,-44.1037
327,-44.432
328,-44.1474
329,-44.5882
330,-44.2587
331,-44.072
332,-43.8969
333,-44.0993
334,-44.0597
335,-43.8352
336,-44.386
337,-44.5186
338,-44.584
339,-43.7664
340,-44.0024
341,-44.0893
342,-44.1457
343,-44.1459
344,-43.8818
345,-43.757
346,-44.0934
347,-44.1045
348,-44.6799
349,-44.1535
350,-44.1103
351,-44.0203
352,-44.1592
353,-44.4633
354,-43.7699
355,-44.1755
356,-44.0538
357,-44.3634
358,-43.5303
359,-44.2434
360,-43.6445
361,-44.3108
362,-43.8786
363,-43.9031
364,-43.9457
365,-44.1172
366,-44.0415
367,-44.362
368,-44.0868
369,-44.5203
370,-44.3059
371,-44.5117
372,-44.5166
373,-44.0337
374,-44.2255
375,-44.0876
376,-44.3377
377,-44.5022
378,-44.3733
379,-44.159
380,-44.4216
381,-44.5043
382,-44.3518
383,-44.1492
384,-44.1051
385,-43.7952
386,-44.4368
387,-44.3042
388,-44.4622
389,-44.0715
390,-44.0676
391,-44.5878
392,-44.5016
393,-44.1055
394,-44.0907
395,-44.6632
396,-44.2544
397,-44.6095
398,-43.904
399,-44.3931
400,-44.3565
401,-44.2476
402,-43.8033
403,-43.9853
404,-44.4155
405,-44.2553
406,-44.2826
407,-43.7138
408,-44.228
409,-44.1527
410,-44.4631
411,-44.5109
412,-43.7678
413,-43.2301
414,-44.9861
415,-44.5841
416,-44.2604
417,-44.6369
418,-44.3722
419,-43.8712
420,-43.7581
421,-44.2013
422,-44.4354
423,-43.8989
424,-44.2114
425,-44.2735
426,-44.5337
427,-44.2874
428,-44.1625
429,-44.5127
430,-44.729
431,-44.2865
432,-44.5384
433,-44.1917
434,-44.3686
435,-44.4296
436,-44.1016
437,-44.097
438,-44.016
439,-44.0997
440,-44.5412
441,-43.9636
442,-44.2212
443,-44.5211
444,-44.4996
445,-44.4627
446,-44.3345
447,-44.6498
448,-44.3037
449,-44.3841
450,-44.4003
451,-44.073
452,-44.7872
453,-44.3388
454,-44.9595
455,-44.2212
456,-44.5729
457,-44.2163
458,-44.7074
459,-44.2777
460,-44.3606
461,-44.7228
462,-44.4744
463,-44.3094
464,-44.6016
465,-44.7368
466,-44.1552
467,-44.4192
468,-44.1471
469,-43.9797
470,-44.4183
471,-44.4123
472,-44.2327
473,-44.4814
474,-45.0471
475,-44.5606
476,-44.1473
477,-44.4057
478,-44.7368
479,-44.4089
480,-44.2687
481,-44.3012
482,-44.1489
483,-44.4091
484,-44.9949
485,-44.5587
486,-43.9905
487,-44.8948
488,-44.0925
489,-44.0963
490,-44.6332
491,-44.3723
492,-44.6951
493,-44.2716
494,-44.496
495,-44.6678
496,-44.4096
497,-45.0338
498,-43.9853
499,-44.8075
500,-44.3709
501,-44.0177
502,-44.5793
503,-44.5071
504,-44.5176
