Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	 30.0	 5.93	 1.25	 9.22	0.00307	0.0374
0.100	 30.0	 5.93	 1.35	 9.21	0.00484	0.0375
0.200	 30.0	 5.93	 1.18	 9.25	0.00602	0.0371
0.300	 30.0	 5.93	 1.28	 9.22	0.00691	0.0372
0.400	 30.0	 5.93	 1.31	 9.22	0.00277	0.0375
0.500	 30.0	 5.93	 1.22	 9.22	0.00484	0.0371
0.600	 30.0	 5.93	 1.31	 9.24	0.00218	0.0374
0.700	 29.9	 5.93	 1.15	 9.25	0.00573	0.0372
0.800	 29.9	 5.93	 1.18	 9.18	0.00956	0.0374
0.900	 30.0	 5.93	 1.31	 9.24	0.00366	0.0375
 1.00	 30.0	 5.93	 1.18	 9.21	0.00720	0.0372
 1.10	 30.0	 5.93	 1.25	 9.26	0.00632	0.0372
 1.20	 30.0	 5.93	 1.25	 9.24	-0.00136	0.0371
 1.30	 29.9	 5.93	 1.28	 9.23	0.0110	0.0372
 1.40	 30.0	 5.93	 1.28	 9.22	0.00573	0.0372
 1.50	 30.0	 5.93	 1.25	 9.18	0.00809	0.0375
 1.60	 30.0	 5.93	 1.25	 9.20	0.00425	0.0374
 1.70	 29.9	 5.94	 1.35	 9.24	0.0122	0.0374
 1.80	 29.9	 5.93	 1.25	 9.23	0.00897	0.0374
 1.90	 30.0	 5.94	 1.25	 9.25	0.00602	0.0371
 2.00	 30.0	 5.94	 1.18	 9.22	0.00602	0.0375
 2.10	 30.0	 5.94	 1.28	 9.16	0.00573	0.0372
 2.20	 29.9	 5.94	 1.22	 9.23	0.00395	0.0372
 2.30	 30.0	 5.94	 1.31	 9.25	0.00425	0.0374
 2.40	 29.9	 5.94	 1.25	 9.21	0.00514	0.0374
 2.50	 29.9	 5.94	 1.22	 9.21	0.00395	0.0375
 2.60	 29.9	 5.94	 1.22	 9.31	0.00956	0.0375
 2.70	 30.0	 5.94	 1.15	 9.22	0.00130	0.0372
 2.80	 30.0	 5.94	 1.25	 9.25	0.00691	0.0372
 2.90	 30.0	 5.94	 1.25	 9.19	0.00307	0.0374
 3.00	 29.9	 5.94	 1.18	 9.22	0.00632	0.0371
 3.10	 30.0	 5.94	 1.22	 9.20	0.00395	0.0375
 3.20	 29.9	 5.94	 1.18	 9.20	0.00897	0.0375
 3.30	 30.0	 5.94	 1.22	 9.17	0.00425	0.0372
 3.40	 30.0	 5.94	 1.28	 9.27	0.00484	0.0372
 3.50	 29.8	 5.94	 1.25	 9.24	0.0113	0.0372
 3.60	 30.0	 5.94	 1.28	 9.25	0.00868	0.0372
 3.70	 29.9	 5.94	 1.18	 9.22	0.0102	0.0372
 3.80	 29.9	 5.94	 1.15	 9.24	0.0105	0.0375
 3.90	 29.9	 5.94	 1.28	 9.19	0.00661	0.0371
 4.00	 29.8	 5.94	 1.12	 9.21	0.000411	0.0372
 4.10	 29.9	 5.94	 1.18	 9.21	0.00838	0.0374
 4.20	 29.9	 5.94	 1.25	 9.22	0.00543	0.0372
 4.30	 29.9	 5.94	 1.15	 9.24	0.00927	0.0371
 4.40	 29.9	 5.94	 1.18	 9.21	0.00514	0.0374
 4.50	 29.9	 5.94	 1.15	 9.24	0.00484	0.0371
 4.60	 29.9	 5.94	 1.35	 9.24	0.00248	0.0374
 4.70	 29.9	 5.94	 1.18	 9.19	0.00691	0.0372
 4.80	 29.9	 5.94	 1.25	 9.22	0.00602	0.0372
 4.90	 29.9	 5.95	 1.28	 9.26	0.00838	0.0374
 5.00	 30.0	 5.94	 1.18	 9.21	0.00661	0.0375
 5.10	 29.9	 5.95	 1.28	 9.20	0.00838	0.0372
 5.20	 29.9	 5.95	 1.31	 9.26	0.00868	0.0372
 5.30	 29.9	 5.95	 1.35	 9.23	0.00336	0.0372
 5.40	 29.9	 5.95	 1.31	 9.18	0.00573	0.0374
 5.50	 29.9	 5.95	 1.15	 9.24	0.00425	0.0375
 5.60	 29.9	 5.95	 1.25	 9.23	0.00484	0.0372
 5.70	 29.9	 5.95	 1.22	 9.27	0.0110	0.0374
 5.80	 29.9	 5.95	 1.22	 9.19	0.00395	0.0375
 5.90	 29.9	 5.95	 1.18	 9.23	0.00779	0.0372
 6.00	 29.9	 5.95	 1.22	 9.24	0.00986	0.0372
 6.10	 29.9	 5.95	 1.15	 9.21	0.00248	0.0372
 6.20	 29.9	 5.95	 1.22	 9.27	0.000706	0.0372
 6.30	 29.9	 5.95	 1.25	 9.24	0.00779	0.0372
 6.40	 29.8	 5.95	 1.35	 9.25	0.0125	0.0372
 6.50	 29.9	 5.95	 1.25	 9.24	0.0102	0.0374
 6.60	 29.9	 5.95	 1.22	 9.23	0.00927	0.0374
 6.70	 30.0	 5.95	 1.18	 9.31	0.00809	0.0372
 6.80	 29.9	 5.95	 1.35	 9.24	0.00897	0.0372
 6.90	 29.9	 5.95	 1.22	 9.21	0.00336	0.0375
 7.00	 29.9	 5.95	 1.31	 9.18	0.00454	0.0372
 7.10	 29.9	 5.95	 1.25	 9.23	0.00454	0.0372
 7.20	 29.9	 5.95	 1.22	 9.21	0.00750	0.0371
 7.30	 29.9	 5.95	 1.28	 9.20	0.00159	0.0374
 7.40	 29.9	 5.95	 1.18	 9.19	0.00691	0.0371
 7.50	 29.9	 5.95	 1.28	 9.24	0.00897	0.0372
 7.60	 29.9	 5.95	 1.22	 9.22	0.00543	0.0374
 7.70	 29.9	 5.95	 1.31	 9.25	0.00100	0.0374
 7.80	 29.8	 5.95	 1.22	 9.22	0.00514	0.0372
 7.90	 29.9	 5.95	 1.25	 9.18	0.00661	0.0371
 8.00	 29.9	 5.95	 1.22	 9.22	0.00307	0.0374
 8.10	 29.8	 5.95	 1.28	 9.20	0.00336	0.0372
 8.20	 29.9	 5.96	 1.18	 9.24	-0.000180	0.0372
 8.30	 29.9	 5.95	 1.22	 9.22	0.00573	0.0372
 8.40	 29.9	 5.95	 1.22	 9.23	0.00484	0.0371
 8.50	 29.9	 5.96	 1.31	 9.22	0.00573	0.0374
 8.60	 29.9	 5.96	 1.22	 9.22	0.00484	0.0374
 8.70	 29.8	 5.96	 1.15	 9.23	0.00956	0.0375
 8.80	 29.8	 5.96	 1.22	 9.16	0.00779	0.0369
 8.90	 29.9	 5.96	 1.18	 9.26	0.00514	0.0372
 9.00	 29.9	 5.96	 1.12	 9.25	-0.00166	0.0372
 9.10	 29.8	 5.96	 1.18	 9.20	0.00484	0.0372
 9.20	 29.9	 5.96	 1.31	 9.20	0.00277	0.0374
 9.30	 29.8	 5.96	 1.28	 9.26	0.0143	0.0375
 9.40	 29.9	 5.96	 1.35	 9.15	0.00720	0.0374
 9.50	 29.8	 5.96	 1.28	 9.22	0.00632	0.0372
 9.60	 29.9	 5.96	 1.18	 9.22	-0.00284	0.0371
 9.70	 29.8	 5.96	 1.25	 9.17	0.00425	0.0371
 9.80	 29.9	 5.96	 1.25	 9.22	0.00425	0.0374
 9.90	 29.9	 5.96	 1.28	 9.27	0.00927	0.0374
 10.0	 29.8	 5.96	 1.28	 9.23	0.00277	0.0371
 10.1	 29.9	 5.96	 1.31	 9.25	0.00366	0.0374
 10.2	 29.8	 5.96	 1.12	 9.25	0.00425	0.0372
 10.3	 29.8	 5.96	 1.22	 9.19	0.00573	0.0374
 10.4	 29.8	 5.96	 1.22	 9.21	0.00130	0.0374
 10.5	 29.9	 5.96	 1.31	 9.18	0.00779	0.0374
 10.6	 29.9	 5.96	 1.22	 9.23	0.00897	0.0372
 10.7	 29.8	 5.96	 1.25	 9.24	0.00277	0.0371
 10.8	 29.8	 5.96	 1.22	 9.20	0.00573	0.0372
 10.9	 29.8	 5.96	 1.18	 9.20	0.00336	0.0372
