Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	 28.7	 6.33	 1.35	 9.21	0.00632	0.0379
0.100	 28.6	 6.33	 1.35	 9.29	0.00454	0.0380
0.200	 28.6	 6.33	 1.31	 9.26	0.00632	0.0380
0.300	 28.6	 6.33	 1.35	 9.25	0.00779	0.0380
0.400	 28.7	 6.33	 1.25	 9.25	0.00720	0.0380
0.500	 28.6	 6.33	 1.25	 9.21	0.00897	0.0377
0.600	 28.6	 6.33	 1.25	 9.28	0.00838	0.0379
0.700	 28.5	 6.33	 1.22	 9.17	0.00484	0.0380
0.800	 28.6	 6.33	 1.31	 9.24	0.000411	0.0380
0.900	 28.6	 6.33	 1.28	 9.22	0.00573	0.0380
 1.00	 28.6	 6.33	 1.22	 9.27	0.00691	0.0379
 1.10	 28.6	 6.33	 1.28	 9.25	0.00395	0.0382
 1.20	 28.5	 6.33	 1.31	 9.26	0.00454	0.0379
 1.30	 28.6	 6.33	 1.25	 9.23	0.00366	0.0380
 1.40	 28.6	 6.33	 1.22	 9.21	0.00336	0.0380
 1.50	 28.6	 6.33	 1.35	 9.28	0.00602	0.0380
 1.60	 28.6	 6.33	 1.35	 9.20	0.00159	0.0379
 1.70	 28.5	 6.33	 1.25	 9.19	0.00218	0.0377
 1.80	 28.6	 6.33	 1.18	 9.27	0.00277	0.0377
 1.90	 28.6	 6.33	 1.35	 9.23	0.00750	0.0382
 2.00	 28.6	 6.33	 1.15	 9.24	0.00366	0.0382
 2.10	 28.7	 6.33	 1.38	 9.22	0.00661	0.0380
 2.20	 28.5	 6.33	 1.22	 9.22	0.00336	0.0380
 2.30	 28.7	 6.33	 1.18	 9.20	0.00543	0.0380
 2.40	 28.6	 6.33	 1.28	 9.27	0.00543	0.0382
 2.50	 28.6	 6.33	 1.22	 9.21	0.00691	0.0379
 2.60	 28.6	 6.33	 1.31	 9.18	0.00573	0.0380
 2.70	 28.6	 6.33	 1.25	 9.19	-0.000475	0.0380
 2.80	 28.6	 6.33	 1.35	 9.25	0.0102	0.0382
 2.90	 28.7	 6.33	 1.22	 9.25	0.00484	0.0379
 3.00	 28.6	 6.33	 1.31	 9.22	0.00573	0.0379
 3.10	 28.6	 6.33	 1.25	 9.25	0.00543	0.0380
 3.20	 28.6	 6.33	 1.31	 9.26	0.00336	0.0377
 3.30	 28.6	 6.33	 1.35	 9.25	0.00720	0.0379
 3.40	 28.6	 6.33	 1.25	 9.27	0.00248	0.0380
 3.50	 28.6	 6.33	 1.18	 9.24	0.00425	0.0380
 3.60	 28.6	 6.33	 1.18	 9.24	0.00543	0.0380
 3.70	 28.6	 6.33	 1.28	 9.16	0.00159	0.0380
 3.80	 28.6	 6.33	 1.28	 9.18	0.00750	0.0379
 3.90	 28.6	 6.33	 1.31	 9.20	0.00454	0.0380
 4.00	 28.7	 6.33	 1.35	 9.23	0.00484	0.0380
 4.10	 28.6	 6.33	 1.31	 9.25	0.00602	0.0379
 4.20	 28.6	 6.33	 1.31	 9.22	0.00602	0.0379
 4.30	 28.6	 6.33	 1.31	 9.25	0.000411	0.0384
 4.40	 28.6	 6.33	 1.25	 9.20	0.00838	0.0380
 4.50	 28.6	 6.33	 1.31	 9.24	0.00100	0.0382
 4.60	 28.6	 6.33	 1.28	 9.21	0.00514	0.0379
 4.70	 28.6	 6.33	 1.15	 9.20	0.00248	0.0379
 4.80	 28.6	 6.33	 1.31	 9.19	0.00750	0.0380
 4.90	 28.6	 6.33	 1.31	 9.25	0.00573	0.0380
 5.00	 28.5	 6.33	 1.22	 9.25	0.00750	0.0380
 5.10	 28.6	 6.33	 1.35	 9.24	0.00395	0.0380
 5.20	 28.6	 6.33	 1.18	 9.25	0.00632	0.0380
 5.30	 28.7	 6.33	 1.22	 9.23	0.00336	0.0380
 5.40	 28.7	 6.33	 1.28	 9.23	0.00573	0.0379
 5.50	 28.7	 6.33	 1.35	 9.23	0.00336	0.0380
 5.60	 28.6	 6.33	 1.38	 9.24	0.00838	0.0380
 5.70	 28.6	 6.33	 1.22	 9.22	0.00986	0.0380
 5.80	 28.7	 6.33	 1.35	 9.24	0.00248	0.0380
 5.90	 28.6	 6.33	 1.28	 9.23	0.00632	0.0379
 6.00	 28.6	 6.33	 1.12	 9.22	0.00868	0.0379
 6.10	 28.6	 6.33	 1.25	 9.19	0.00602	0.0380
 6.20	 28.7	 6.33	 1.28	 9.21	0.00100	0.0379
 6.30	 28.6	 6.33	 1.18	 9.21	0.00720	0.0380
 6.40	 28.6	 6.33	 1.22	 9.21	0.00395	0.0380
 6.50	 28.6	 6.33	 1.28	 9.15	0.00425	0.0384
 6.60	 28.6	 6.33	 1.22	 9.28	0.00573	0.0379
 6.70	 28.6	 6.33	 1.31	 9.20	0.00632	0.0380
 6.80	 28.6	 6.33	 1.28	 9.22	0.00838	0.0379
 6.90	 28.6	 6.33	 1.25	 9.22	0.00720	0.0380
 7.00	 28.6	 6.33	 1.18	 9.20	0.00573	0.0379
 7.10	 28.6	 6.33	 1.22	 9.23	0.00277	0.0382
 7.20	 28.6	 6.33	 1.18	 9.26	0.00454	0.0379
 7.30	 28.6	 6.33	 1.22	 9.21	0.00277	0.0380
 7.40	 28.5	 6.33	 1.22	 9.20	0.00809	0.0382
