Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	 28.4	 6.61	 1.25	 9.27	 2.05	 1.09
0.100	 28.4	 6.61	 1.38	 9.25	 2.05	 1.09
0.200	 28.4	 6.61	 1.25	 9.22	 2.04	 1.09
0.300	 28.3	 6.61	 1.31	 9.25	 2.04	 1.09
0.400	 28.4	 6.62	 1.41	 9.31	 2.05	 1.09
0.500	 28.4	 6.61	 1.22	 9.26	 2.05	 1.09
0.600	 28.4	 6.61	 1.28	 9.26	 2.05	 1.09
0.700	 28.3	 6.62	 1.35	 9.27	 2.04	 1.09
0.800	 28.4	 6.62	 1.31	 9.24	 2.05	 1.09
0.900	 28.3	 6.62	 1.18	 9.24	 2.05	 1.09
 1.00	 28.3	 6.62	 1.25	 9.20	 2.04	 1.09
 1.10	 28.3	 6.62	 1.31	 9.19	 2.04	 1.09
 1.20	 28.3	 6.62	 1.28	 9.16	 2.04	 1.09
 1.30	 28.4	 6.62	 1.22	 9.22	 2.05	 1.09
 1.40	 28.3	 6.62	 1.35	 9.23	 2.05	 1.09
 1.50	 28.3	 6.62	 1.31	 9.31	 2.05	 1.09
 1.60	 28.3	 6.62	 1.35	 9.25	 2.05	 1.09
 1.70	 28.4	 6.62	 1.31	 9.24	 2.05	 1.09
 1.80	 28.3	 6.62	 1.25	 9.28	 2.05	 1.09
 1.90	 28.4	 6.62	 1.25	 9.22	 2.05	 1.09
 2.00	 28.3	 6.62	 1.31	 9.27	 2.05	 1.09
 2.10	 28.3	 6.62	 1.41	 9.27	 2.05	 1.09
 2.20	 28.4	 6.62	 1.28	 9.26	 2.04	 1.09
 2.30	 28.4	 6.62	 1.38	 9.18	 2.04	 1.09
 2.40	 28.3	 6.62	 1.25	 9.27	 2.04	 1.09
 2.50	 28.4	 6.62	 1.31	 9.25	 2.05	 1.09
 2.60	 28.3	 6.62	 1.28	 9.23	 2.04	 1.09
 2.70	 28.3	 6.62	 1.22	 9.24	 2.05	 1.09
 2.80	 28.4	 6.62	 1.35	 9.30	 2.04	 1.09
 2.90	 28.4	 6.62	 1.15	 9.22	 2.04	 1.09
 3.00	 28.3	 6.62	 1.18	 9.25	 2.04	 1.09
 3.10	 28.4	 6.62	 1.31	 9.23	 2.04	 1.09
 3.20	 28.3	 6.62	 1.31	 9.26	 2.05	 1.09
 3.30	 28.3	 6.62	 1.31	 9.22	 2.05	 1.09
 3.40	 28.4	 6.62	 1.22	 9.19	 2.05	 1.09
 3.50	 28.4	 6.62	 1.28	 9.26	 2.05	 1.09
 3.60	 28.3	 6.62	 1.41	 9.21	 2.05	 1.09
 3.70	 28.4	 6.62	 1.31	 9.23	 2.04	 1.09
 3.80	 28.4	 6.62	 1.28	 9.24	 2.05	 1.09
 3.90	 28.4	 6.62	 1.31	 9.26	 2.04	 1.09
 4.00	 28.3	 6.62	 1.28	 9.24	 2.04	 1.09
 4.10	 28.4	 6.62	 1.25	 9.23	 2.04	 1.09
 4.20	 28.3	 6.62	 1.25	 9.27	 2.05	 1.09
 4.30	 28.3	 6.62	 1.25	 9.21	 2.05	 1.09
 4.40	 28.4	 6.62	 1.31	 9.21	 2.04	 1.09
