Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	 24.9	 1.24	 6.05	 30.2	0.00366	0.0379
0.100	 24.9	 1.24	 6.12	 30.2	-0.00166	0.0380
0.200	 24.9	 1.24	 6.08	 30.2	0.00573	0.0379
0.300	 24.8	 1.24	 5.95	 30.2	0.00809	0.0382
0.400	 24.8	 1.24	 6.02	 30.2	0.00986	0.0380
0.500	 25.0	 1.24	 6.12	 30.2	0.00838	0.0380
0.600	 24.9	 1.24	 5.95	 30.2	0.00602	0.0375
0.700	 24.9	 1.24	 6.12	 30.2	0.00661	0.0380
0.800	 25.0	 1.24	 6.12	 30.2	0.00691	0.0379
0.900	 24.9	 1.24	 6.08	 30.2	0.00986	0.0379
 1.00	 24.9	 1.24	 6.15	 30.2	0.00750	0.0379
 1.10	 24.9	 1.24	 6.15	 30.2	0.0140	0.0380
 1.20	 24.9	 1.24	 6.12	 30.2	0.00543	0.0379
 1.30	 24.9	 1.24	 6.12	 30.2	0.00868	0.0379
 1.40	 24.9	 1.24	 5.99	 30.2	0.0128	0.0380
 1.50	 24.9	 1.24	 5.99	 30.2	0.00484	0.0382
 1.60	 24.9	 1.24	 6.21	 30.2	0.00425	0.0380
 1.70	 25.0	 1.24	 5.92	 30.2	0.00484	0.0382
 1.80	 24.9	 1.24	 6.12	 30.2	0.00366	0.0382
 1.90	 24.9	 1.24	 6.08	 30.3	0.00809	0.0380
 2.00	 24.8	 1.24	 6.15	 30.2	0.00395	0.0380
 2.10	 24.9	 1.24	 6.12	 30.2	0.00248	0.0382
 2.20	 24.9	 1.24	 5.92	 30.3	-0.00107	0.0380
 2.30	 24.9	 1.24	 6.12	 30.2	0.00189	0.0382
 2.40	 24.9	 1.24	 6.08	 30.2	0.00248	0.0384
 2.50	 24.8	 1.24	 5.89	 30.2	0.0128	0.0392
 2.60	 24.9	 1.24	 5.53	 30.2	0.0143	0.0418
 2.70	 24.9	 1.24	 3.55	 30.2	0.0595	0.0578
 2.80	 24.9	 1.24	 2.29	 30.3	0.0855	0.0693
 2.90	 24.9	 1.24	 1.25	 30.2	0.109	0.0786
 3.00	 24.9	 1.24	0.794	 30.2	0.115	0.0825
 3.10	 24.8	 1.24	0.210	 30.2	0.134	0.0873
 3.20	 24.9	 1.24	-0.666	 30.2	0.144	0.0938
 3.30	 24.9	 1.24	-1.61	 30.2	0.169	0.103
 3.40	 25.0	 1.24	-2.35	 30.2	0.180	0.108
 3.50	 24.8	 1.24	-2.91	 30.2	0.191	0.113
 3.60	 24.9	 1.24	-3.78	 30.2	0.200	0.120
 3.70	 24.9	 1.24	-4.11	 30.2	0.212	0.123
 3.80	 24.9	 1.24	-4.66	 30.2	0.217	0.128
 3.90	 24.9	 1.24	-5.24	 30.2	0.235	0.133
 4.00	 24.9	 1.24	-5.92	 30.2	0.243	0.138
 4.10	 24.9	 1.24	-6.74	 30.2	0.259	0.146
 4.20	 24.8	 1.24	-7.51	 30.2	0.275	0.152
 4.30	 24.9	 1.24	-7.61	 30.2	0.268	0.152
 4.40	 24.8	 1.24	-7.87	 30.2	0.282	0.155
 4.50	 24.8	 1.24	-8.65	 30.2	0.296	0.162
 4.60	 24.9	 1.24	-9.85	 30.2	0.313	0.171
 4.70	 25.0	 1.24	-10.7	 30.2	0.328	0.178
 4.80	 24.9	 1.24	-11.7	 30.2	0.350	0.186
 4.90	 24.9	 1.24	-13.1	 30.2	0.372	0.198
 5.00	 24.9	 1.24	-15.6	 30.2	0.415	0.219
 5.10	 24.9	 1.24	-18.8	 30.2	0.469	0.245
