Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	 24.7	 1.24	 6.08	 30.2	0.00218	0.0380
 1.00	 24.7	 1.24	 6.18	 30.2	0.00484	0.0382
 2.00	 24.7	 1.24	 6.15	 30.2	0.00661	0.0382
 3.00	 24.7	 1.24	 6.02	 30.2	0.00661	0.0382
 4.00	 24.7	 1.24	 6.12	 30.2	0.00602	0.0380
 5.00	 24.7	 1.24	 6.31	 30.2	0.0152	0.0384
 6.00	 24.7	 1.24	 6.08	 30.2	0.00573	0.0380
 7.00	 24.7	 1.24	 6.08	 30.2	0.00868	0.0380
 8.00	 24.7	 1.24	 6.12	 30.2	0.00395	0.0380
 9.00	 24.8	 1.24	 6.08	 30.3	0.00897	0.0382
 10.0	 24.7	 1.24	 5.99	 30.2	0.00691	0.0384
 11.0	 24.8	 1.24	 6.08	 30.2	0.00454	0.0380
 12.0	 24.6	 1.24	 6.08	 30.3	0.0122	0.0382
 13.0	 24.7	 1.24	 6.05	 30.2	0.00927	0.0382
 14.0	 24.7	 1.24	 6.28	 30.2	0.00632	0.0380
 15.0	 24.4	 1.24	 6.18	 30.3	0.00838	0.0379
 16.0	 24.7	 1.24	 6.25	 30.2	0.00602	0.0384
 17.0	 24.8	 1.24	 6.15	 30.2	-0.000475	0.0382
 18.0	 24.8	 1.24	 6.18	 30.3	0.00661	0.0380
 19.0	 24.7	 1.24	 6.05	 30.3	0.00573	0.0380
 20.0	 24.7	 1.24	 6.28	 30.2	0.00661	0.0380
 21.0	 24.7	 1.24	 6.18	 30.3	0.00248	0.0380
 22.0	 24.5	 1.24	 6.21	 30.2	0.00543	0.0380
 23.0	 24.7	 1.24	 6.08	 30.3	0.00484	0.0384
 24.0	 24.7	 1.24	 6.28	 30.2	0.00720	0.0380
 25.0	 24.3	 1.24	 6.02	 30.2	0.0116	0.0384
 26.0	 24.8	 1.24	 6.15	 30.3	0.00454	0.0380
 27.0	 24.7	 1.24	 6.31	 30.2	0.0105	0.0382
 28.0	 24.7	 1.24	 6.02	 30.2	0.0119	0.0380
 29.0	 24.8	 1.24	 6.02	 30.3	0.00543	0.0380
 30.0	 24.5	 1.24	 6.12	 30.2	0.00543	0.0382
 31.0	 24.8	 1.24	 6.12	 30.2	0.00395	0.0382
 32.0	 24.8	 1.24	 6.25	 30.3	-0.00107	0.0382
 33.0	 24.8	 1.24	 6.15	 30.2	0.00720	0.0382
 34.0	 24.8	 1.24	 6.25	 30.2	0.00543	0.0382
 35.0	 24.8	 1.24	 5.99	 30.2	0.00602	0.0379
 36.0	 24.8	 1.24	 6.12	 30.3	0.00750	0.0380
 37.0	 24.8	 1.24	 6.31	 30.2	0.00750	0.0382
 38.0	 24.8	 1.24	 6.12	 30.2	0.00691	0.0380
 39.0	 24.8	 1.24	 6.05	 30.2	0.00336	0.0384
 40.0	 24.8	 1.24	 6.18	 30.2	0.00366	0.0380
 41.0	 24.8	 1.24	 6.28	 30.2	0.00956	0.0380
 42.0	 24.8	 1.24	 6.21	 30.2	0.00218	0.0382
 43.0	 24.9	 1.24	 6.25	 30.3	0.00425	0.0382
 44.0	 24.9	 1.24	 6.18	 30.2	0.00779	0.0384
 45.0	 24.8	 1.24	 6.15	 30.2	0.00366	0.0380
 46.0	 24.8	 1.24	 6.18	 30.3	0.00573	0.0379
 47.0	 24.9	 1.24	 6.28	 30.2	0.00543	0.0382
 48.0	 24.8	 1.24	 6.31	 30.2	0.00484	0.0380
 49.0	 24.8	 1.24	 6.18	 30.3	0.000411	0.0380
 50.0	 24.9	 1.24	 6.28	 30.2	0.00543	0.0382
 51.0	 25.0	 1.24	 6.18	 30.3	0.00277	0.0380
 52.0	 24.9	 1.24	 6.28	 30.2	0.00720	0.0382
 53.0	 24.9	 1.24	 6.21	 30.2	0.00395	0.0382
 54.0	 24.9	 1.24	 6.08	 30.2	0.000116	0.0382
 55.0	 24.9	 1.24	 6.05	 30.2	0.00691	0.0384
 56.0	 25.0	 1.24	 6.08	 30.2	0.00307	0.0382
 57.0	 25.0	 1.24	 6.21	 30.2	0.00750	0.0380
 58.0	 25.0	 1.24	 6.18	 30.2	0.00632	0.0384
 59.0	 25.0	 1.24	 5.99	 30.2	0.00336	0.0380
 60.0	 25.0	 1.24	 6.02	 30.2	0.00956	0.0382
 61.0	 25.1	 1.24	 6.25	 30.2	0.00956	0.0385
 62.0	 25.2	 1.24	 6.08	 30.3	0.00484	0.0382
 63.0	 25.2	 1.24	 6.12	 30.2	0.00838	0.0382
 64.0	 25.3	 1.24	 6.08	 30.2	0.00838	0.0380
 65.0	 25.3	 1.24	 6.21	 30.2	0.00779	0.0382
 66.0	 25.3	 1.24	 6.18	 30.2	0.00425	0.0380
 67.0	 25.3	 1.24	 6.08	 30.2	-0.000180	0.0385
 68.0	 25.4	 1.24	 6.02	 30.3	0.00897	0.0382
 69.0	 25.4	 1.24	 6.08	 30.3	0.00868	0.0382
 70.0	 25.4	 1.24	 5.99	 30.2	0.00277	0.0380
 71.0	 25.5	 1.24	 6.15	 30.2	0.00189	0.0380
 72.0	 25.4	 1.24	 6.05	 30.2	0.000411	0.0385
 73.0	 25.4	 1.24	 6.08	 30.2	0.00130	0.0380
 74.0	 25.6	 1.24	 6.12	 30.2	0.00661	0.0382
 75.0	 25.5	 1.24	 6.05	 30.2	0.00218	0.0382
 76.0	 25.6	 1.24	 6.05	 30.3	0.00779	0.0385
 77.0	 25.6	 1.24	 6.15	 30.2	0.00425	0.0382
 78.0	 25.6	 1.24	 6.08	 30.2	0.00425	0.0384
 79.0	 25.6	 1.24	 6.21	 30.3	0.00130	0.0380
 80.0	 25.7	 1.24	 6.18	 30.2	0.0105	0.0379
 81.0	 25.7	 1.24	 6.12	 30.2	0.00277	0.0380
 82.0	 25.7	 1.24	 5.95	 30.2	0.00838	0.0380
 83.0	 25.7	 1.24	 6.02	 30.2	0.00425	0.0380
 84.0	 25.8	 1.24	 6.15	 30.2	0.00189	0.0380
 85.0	 25.8	 1.24	 5.92	 30.2	0.00454	0.0382
 86.0	 25.8	 1.24	 6.05	 30.2	0.00956	0.0382
 87.0	 25.9	 1.25	 5.95	 30.2	0.00484	0.0382
 88.0	 25.9	 1.24	 6.05	 30.3	0.00454	0.0380
 89.0	 25.9	 1.25	 6.15	 30.2	-0.00195	0.0380
