Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	 27.9	 1.27	 -119	 30.1	 2.11	 1.09
0.999	 27.9	 1.27	 -119	 30.2	 2.11	 1.09
 2.00	 27.6	 1.27	 -120	 30.2	 2.11	 1.09
 3.00	 27.8	 1.27	 -119	 30.2	 2.11	 1.09
 4.00	 27.8	 1.27	 -119	 30.1	 2.11	 1.09
 5.00	 27.9	 1.27	 -118	 30.2	 2.11	 1.09
 6.00	 27.9	 1.27	 -119	 30.1	 2.11	 1.09
 7.00	 27.9	 1.27	 -119	 30.2	 2.12	 1.09
 8.00	 27.8	 1.27	 -119	 30.2	 2.12	 1.09
 9.00	 27.8	 1.27	 -118	 30.2	 2.11	 1.09
 10.0	 27.8	 1.27	 -118	 30.2	 2.11	 1.09
 11.0	 27.9	 1.27	 -119	 30.2	 2.12	 1.09
 12.0	 27.8	 1.27	 -118	 30.1	 2.11	 1.09
 13.0	 27.8	 1.27	 -119	 30.2	 2.12	 1.09
 14.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.09
 15.0	 27.8	 1.27	 -118	 30.2	 2.12	 1.09
 16.0	 27.8	 1.27	 -118	 30.2	 2.11	 1.08
 17.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.08
 18.0	 27.8	 1.27	 -118	 30.2	 2.11	 1.08
 19.0	 27.8	 1.27	 -119	 30.3	 2.11	 1.08
 20.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.08
 21.0	 27.8	 1.27	 -119	 30.3	 2.11	 1.08
 22.0	 27.8	 1.27	 -118	 30.2	 2.11	 1.08
 23.0	 27.5	 1.27	 -119	 30.2	 2.11	 1.09
 24.0	 27.8	 1.27	 -118	 30.2	 2.11	 1.08
 25.0	 27.6	 1.27	 -118	 30.2	 2.11	 1.08
 26.0	 27.6	 1.27	 -119	 30.2	 2.11	 1.08
 27.0	 27.6	 1.27	 -119	 30.2	 2.11	 1.08
 28.0	 27.6	 1.27	 -119	 30.2	 2.11	 1.08
 29.0	 27.7	 1.27	 -119	 30.2	 2.11	 1.08
 30.0	 27.7	 1.27	 -118	 30.2	 2.11	 1.08
 31.0	 27.8	 1.27	 -118	 30.2	 2.11	 1.08
 32.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.08
 33.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.08
 34.0	 27.7	 1.27	 -119	 30.2	 2.11	 1.08
 35.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.08
 36.0	 27.8	 1.27	 -118	 30.2	 2.12	 1.08
 37.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.08
 38.0	 27.8	 1.27	 -118	 30.2	 2.11	 1.08
 39.0	 27.7	 1.27	 -118	 30.2	 2.11	 1.08
 40.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.08
 41.0	 27.7	 1.27	 -118	 30.2	 2.11	 1.08
 42.0	 27.7	 1.27	 -119	 30.2	 2.10	 1.08
 43.0	 27.8	 1.27	 -118	 30.2	 2.11	 1.08
 44.0	 27.8	 1.27	 -119	 30.2	 2.11	 1.08
 45.0	 27.9	 1.27	 -119	 30.2	 2.11	 1.08
 46.0	 27.9	 1.27	 -119	 30.2	 2.11	 1.08
 47.0	 27.9	 1.27	 -119	 30.2	 2.11	 1.08
