Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	  511	 10.6	 1.18	 30.1	0.00809	0.0380
0.0991	  511	 10.6	 1.35	 30.2	0.00189	0.0380
0.198	  511	 10.6	 1.18	 30.1	0.00366	0.0377
0.297	  511	 10.6	 1.31	 30.1	0.00779	0.0380
0.396	  511	 10.6	 1.18	 30.2	0.00130	0.0379
0.495	  511	 10.6	 1.18	 30.1	0.00602	0.0377
0.594	  511	 10.6	 1.35	 30.2	0.00543	0.0377
0.693	  511	 10.6	 1.18	 30.1	0.000411	0.0377
0.793	  511	 10.6	 1.12	 30.1	0.00632	0.0379
0.892	  511	 10.6	 1.15	 30.1	0.00573	0.0379
0.991	  511	 10.6	 1.15	 30.2	0.00336	0.0380
 1.09	  511	 10.6	 1.28	 30.1	0.00602	0.0379
 1.19	  511	 10.6	 1.25	 30.1	0.00425	0.0375
 1.29	  511	 10.6	 1.18	 30.1	0.00130	0.0379
 1.39	  511	 10.6	 1.31	 30.2	0.00809	0.0380
 1.49	  511	 10.6	 1.22	 30.1	0.00632	0.0377
 1.59	  511	 10.6	 1.18	 30.1	0.00514	0.0377
 1.68	  511	 10.6	 1.25	 30.1	0.00336	0.0377
 1.78	  511	 10.6	 1.15	 30.2	0.00543	0.0377
 1.88	  511	 10.6	 1.28	 30.1	0.00336	0.0380
 1.98	  511	 10.6	 1.38	 30.1	0.00514	0.0377
 2.08	  511	 10.6	 1.12	 30.1	0.00602	0.0377
 2.18	  511	 10.6	 1.35	 30.1	0.00602	0.0379
 2.28	  511	 10.6	 1.28	 30.2	0.00484	0.0379
 2.38	  511	 10.6	 1.28	 30.1	0.00248	0.0379
 2.48	  511	 10.6	 1.35	 30.2	0.00130	0.0377
 2.58	  511	 10.6	 1.28	 30.1	0.00986	0.0379
 2.67	  511	 10.6	 1.31	 30.2	0.00218	0.0377
 2.77	  511	 10.6	 1.28	 30.2	0.00248	0.0377
 2.87	  511	 10.6	 1.35	 30.1	-0.00107	0.0379
 2.97	  511	 10.6	 1.25	 30.1	0.00484	0.0377
 3.07	  511	 10.6	 1.15	 30.1	0.00277	0.0379
 3.17	  511	 10.6	 1.12	 30.2	0.00218	0.0377
 3.27	  511	 10.6	 1.31	 30.1	0.00543	0.0377
 3.37	  511	 10.6	 1.28	 30.1	0.00159	0.0377
 3.47	  511	 10.6	 1.31	 30.1	0.00720	0.0379
 3.57	  511	 10.6	 1.28	 30.1	-0.00136	0.0382
 3.67	  511	 10.6	 1.22	 30.1	0.00484	0.0377
 3.76	  511	 10.6	 1.15	 30.1	0.00366	0.0380
 3.86	  511	 10.6	 1.25	 30.1	0.00454	0.0379
 3.96	  511	 10.6	 1.31	 30.2	-0.000180	0.0377
 4.06	  511	 10.6	 1.38	 30.1	0.00514	0.0379
 4.16	  511	 10.6	 1.31	 30.1	0.00691	0.0380
 4.26	  511	 10.6	 1.28	 30.2	0.00277	0.0380
 4.36	  511	 10.6	 1.22	 30.1	0.00248	0.0377
 4.46	  511	 10.6	 1.18	 30.1	0.00514	0.0380
 4.56	  511	 10.6	 1.28	 30.1	0.00277	0.0379
 4.66	  511	 10.6	 1.15	 30.1	0.00691	0.0375
 4.76	  511	 10.6	 1.38	 30.1	0.00602	0.0377
 4.85	  511	 10.6	 1.18	 30.1	0.00159	0.0380
 4.95	  511	 10.6	 1.22	 30.1	0.00130	0.0379
 5.05	  511	 10.6	 1.22	 30.1	0.00897	0.0377
 5.15	  511	 10.6	 1.22	 30.2	0.00484	0.0377
 5.25	  511	 10.6	 1.28	 30.1	0.00750	0.0379
 5.35	  511	 10.6	 1.28	 30.1	0.00809	0.0379
 5.45	  511	 10.6	 1.12	 30.2	0.00307	0.0377
 5.55	  511	 10.6	 1.12	 30.2	0.00277	0.0377
 5.65	  511	 10.6	 1.28	 30.2	0.00484	0.0377
 5.75	  511	 10.6	 1.31	 30.1	0.00307	0.0380
 5.85	  511	 10.6	 1.22	 30.1	-0.00136	0.0379
 5.94	  511	 10.6	 1.12	 30.1	0.00218	0.0377
 6.04	  511	 10.6	 1.22	 30.1	0.00277	0.0377
 6.14	  511	 10.6	 1.09	 30.1	0.00307	0.0377
 6.24	  511	 10.6	 1.09	 30.1	0.00130	0.0379
 6.34	  511	 10.6	 1.15	 30.2	0.00159	0.0379
 6.44	  511	 10.6	 1.25	 30.1	0.00543	0.0377
 6.54	  511	 10.6	 1.18	 30.1	0.00838	0.0380
 6.64	  511	 10.6	 1.25	 30.1	0.00159	0.0379
 6.74	  511	 10.6	 1.22	 30.1	0.00454	0.0379
 6.84	  511	 10.6	 1.25	 30.1	0.00750	0.0379
 6.93	  511	 10.6	 1.18	 30.1	0.00484	0.0380
 7.03	  511	 10.6	 1.18	 30.1	-0.000180	0.0375
 7.13	  511	 10.6	 1.12	 30.1	0.00336	0.0377
 7.23	  511	 10.6	 1.22	 30.1	0.00454	0.0377
 7.33	  511	 10.6	 1.35	 30.1	0.00868	0.0379
 7.43	  511	 10.6	 1.15	 30.1	0.00897	0.0377
 7.53	  511	 10.6	 1.28	 30.1	0.00454	0.0379
 7.63	  511	 10.6	 1.31	 30.1	0.00750	0.0379
 7.73	  511	 10.6	 1.28	 30.2	0.00927	0.0380
 7.83	  511	 10.6	 1.31	 30.1	0.00100	0.0377
 7.93	  511	 10.6	 1.15	 30.1	0.00454	0.0377
 8.02	  511	 10.6	 1.22	 30.2	0.00454	0.0375
 8.12	  511	 10.6	 1.12	 30.1	0.00159	0.0377
 8.22	  511	 10.6	 1.22	 30.2	0.00395	0.0379
 8.32	  511	 10.6	 1.12	 30.1	0.00750	0.0380
 8.42	  511	 10.6	 1.35	 30.2	0.00484	0.0380
 8.52	  511	 10.6	 1.09	 30.1	0.00956	0.0396
 8.62	  511	 10.6	 1.31	 30.1	0.0193	0.0414
 8.72	  511	 10.6	 1.28	 30.1	0.0193	0.0419
 8.82	  511	 10.6	 1.12	 30.2	0.0193	0.0421
 8.92	  511	 10.6	 1.18	 30.1	0.0208	0.0431
 9.02	  511	 10.6	 1.09	 30.1	0.0199	0.0434
 9.11	  511	 10.6	 1.35	 30.1	0.0220	0.0450
 9.21	  511	 10.6	 1.12	 30.1	0.0323	0.0465
 9.31	  511	 10.6	 1.15	 30.1	0.0314	0.0479
 9.41	  511	 10.6	 1.31	 30.1	0.0364	0.0484
 9.51	  511	 10.6	 1.18	 30.1	0.0373	0.0495
 9.61	  511	 10.6	 1.28	 30.2	0.0412	0.0499
 9.71	  511	 10.6	 1.22	 30.2	0.0400	0.0504
 9.81	  511	 10.6	 1.25	 30.1	0.0376	0.0508
 9.91	  511	 10.6	 1.12	 30.1	0.0406	0.0510
 10.0	  511	 10.6	 1.35	 30.2	0.0406	0.0520
 10.1	  511	 10.6	 1.38	 30.1	0.0432	0.0523
 10.2	  511	 10.6	 1.25	 30.1	0.0477	0.0543
 10.3	  511	 10.6	 1.31	 30.1	0.0553	0.0547
