Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	  512	 10.6	 1.18	 30.1	0.000116	0.0362
0.0991	  512	 10.6	 1.25	 30.1	0.00336	0.0362
0.198	  512	 10.6	 1.22	 30.1	0.00632	0.0361
0.297	  512	 10.6	 1.28	 30.2	-0.00372	0.0362
0.396	  512	 10.6	 1.18	 30.2	0.00307	0.0364
0.495	  512	 10.6	 1.12	 30.1	0.00277	0.0362
0.594	  512	 10.6	 1.31	 30.1	0.00750	0.0362
0.693	  512	 10.6	 1.28	 30.1	0.00454	0.0362
0.793	  512	 10.6	 1.28	 30.1	0.00336	0.0364
0.892	  512	 10.6	 1.28	 30.1	-0.000180	0.0362
0.991	  512	 10.6	 1.31	 30.1	0.00395	0.0364
 1.09	  512	 10.6	 1.09	 30.1	0.00366	0.0362
 1.19	  512	 10.6	 1.35	 30.1	0.000116	0.0362
 1.29	  512	 10.6	 1.31	 30.1	0.00543	0.0362
 1.39	  512	 10.6	 1.22	 30.1	-0.000180	0.0361
 1.49	  512	 10.6	 1.22	 30.1	0.00691	0.0364
 1.59	  512	 10.6	 1.18	 30.1	0.00277	0.0362
 1.68	  512	 10.6	 1.25	 30.1	0.00484	0.0362
 1.78	  512	 10.6	 1.18	 30.2	0.00720	0.0362
 1.88	  512	 10.6	 1.31	 30.1	0.00159	0.0362
 1.98	  512	 10.6	 1.31	 30.1	0.00277	0.0361
 2.08	  512	 10.6	 1.18	 30.1	-0.000770	0.0364
 2.18	  512	 10.6	 1.35	 30.1	0.00307	0.0362
 2.28	  512	 10.6	 1.18	 30.1	-0.00402	0.0362
 2.38	  512	 10.6	 1.31	 30.1	0.00602	0.0362
 2.48	  512	 10.6	 1.18	 30.2	0.00277	0.0362
 2.58	  512	 10.6	 1.15	 30.1	0.0102	0.0361
 2.67	  512	 10.6	 1.35	 30.1	0.00573	0.0362
 2.77	  512	 10.6	 1.28	 30.1	0.00130	0.0362
 2.87	  512	 10.6	 1.31	 30.2	0.00159	0.0362
 2.97	  512	 10.6	 1.28	 30.1	-0.00225	0.0362
 3.07	  512	 10.6	 1.31	 30.1	0.00573	0.0362
 3.17	  512	 10.6	 1.12	 30.1	0.00366	0.0364
 3.27	  512	 10.6	 1.22	 30.1	0.00484	0.0361
 3.37	  512	 10.6	 1.12	 30.1	0.00543	0.0362
 3.47	  512	 10.6	 1.18	 30.1	0.00307	0.0364
 3.57	  512	 10.6	 1.38	 30.1	0.00425	0.0362
 3.67	  512	 10.6	 1.15	 30.1	0.00779	0.0361
 3.76	  512	 10.6	 1.28	 30.1	0.00454	0.0362
 3.86	  512	 10.6	 1.12	 30.1	0.00454	0.0366
 3.96	  512	 10.6	 1.31	 30.1	0.00336	0.0361
 4.06	  512	 10.6	 1.31	 30.1	-0.000770	0.0361
 4.16	  512	 10.6	 1.28	 30.1	0.00366	0.0362
 4.26	  512	 10.6	 1.15	 30.1	0.000411	0.0362
 4.36	  512	 10.6	 1.15	 30.1	0.00248	0.0362
 4.46	  512	 10.6	 1.15	 30.0	0.00395	0.0362
 4.56	  512	 10.6	 1.15	 30.1	0.00366	0.0362
 4.66	  512	 10.6	 1.15	 30.1	0.00218	0.0361
 4.76	  512	 10.6	 1.22	 30.1	0.00484	0.0362
 4.85	  512	 10.6	 1.18	 30.1	0.00189	0.0362
 4.95	  512	 10.6	 1.18	 30.1	0.00336	0.0364
 5.05	  512	 10.6	 1.35	 30.1	0.00543	0.0362
 5.15	  512	 10.6	 1.22	 30.1	0.00602	0.0362
 5.25	  512	 10.6	 1.28	 30.2	0.00189	0.0364
 5.35	  512	 10.6	 1.25	 30.1	0.00543	0.0362
 5.45	  512	 10.6	 1.25	 30.1	0.000706	0.0364
 5.55	  512	 10.6	 1.12	 30.1	0.00750	0.0364
 5.65	  512	 10.6	 1.12	 30.1	0.00543	0.0364
 5.75	  512	 10.6	 1.28	 30.1	0.000706	0.0361
 5.85	  512	 10.6	 1.25	 30.1	0.00720	0.0362
 5.94	  512	 10.6	 1.25	 30.1	0.00159	0.0361
