Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField		
 0.00	 24.0	 1.29	 14.4	 29.8	0.00927	0.0289
0.100	 24.0	 1.29	 14.4	 29.9	0.00454	0.0288
0.200	 23.9	 1.29	 14.6	 29.8	0.00543	0.0288
0.300	 23.9	 1.29	 14.5	 29.8	0.00543	0.0289
0.400	 24.0	 1.29	 14.4	 29.9	0.00720	0.0288
0.500	 24.0	 1.29	 14.7	 29.8	0.00218	0.0291
0.600	 23.9	 1.29	 14.5	 29.9	0.00395	0.0289
0.700	 23.9	 1.29	 14.4	 29.9	0.00454	0.0289
0.800	 23.9	 1.29	 14.7	 29.8	0.00838	0.0288
0.900	 23.9	 1.29	 14.4	 29.8	0.00484	0.0291
 1.00	 24.0	 1.29	 14.3	 29.8	0.00248	0.0286
 1.10	 24.0	 1.29	 14.5	 29.9	0.00838	0.0288
 1.20	 24.0	 1.29	 14.3	 29.9	0.00602	0.0288
 1.30	 24.0	 1.29	 14.3	 29.9	0.0107	0.0288
 1.40	 24.0	 1.29	 14.4	 29.8	0.000116	0.0289
 1.50	 24.0	 1.29	 14.4	 29.8	0.00602	0.0291
 1.60	 24.0	 1.29	 14.7	 29.8	0.00307	0.0288
 1.70	 24.0	 1.29	 14.3	 29.8	0.00218	0.0289
 1.80	 24.0	 1.29	 14.3	 29.9	0.00425	0.0288
 1.90	 23.9	 1.29	 14.5	 29.8	0.00897	0.0289
 2.00	 24.0	 1.29	 14.4	 29.9	0.00927	0.0288
 2.10	 24.0	 1.29	 14.6	 29.8	0.00661	0.0289
 2.20	 23.9	 1.29	 14.3	 29.8	0.00750	0.0289
 2.30	 23.9	 1.29	 14.7	 29.8	0.00159	0.0289
 2.40	 23.9	 1.29	 14.6	 29.8	0.00425	0.0286
 2.50	 24.0	 1.29	 14.5	 29.8	0.00602	0.0289
 2.60	 23.9	 1.29	 14.7	 29.8	0.00750	0.0289
 2.70	 23.9	 1.29	 14.6	 29.8	0.00484	0.0288
 2.80	 24.0	 1.29	 14.7	 29.9	0.000411	0.0289
 2.90	 23.9	 1.29	 14.4	 29.9	0.00277	0.0288
 3.00	 24.0	 1.29	 14.5	 29.8	0.00543	0.0291
 3.10	 24.0	 1.29	 14.5	 29.9	0.0125	0.0293
 3.20	 24.0	 1.29	 14.3	 29.8	0.00543	0.0289
 3.30	 23.9	 1.29	 14.6	 29.8	0.00661	0.0288
 3.40	 24.0	 1.29	 14.7	 29.8	0.00277	0.0288
 3.50	 24.0	 1.29	 14.7	 29.8	0.00897	0.0291
 3.60	 23.9	 1.29	 14.5	 29.8	0.000116	0.0291
 3.70	 24.0	 1.29	 14.4	 29.8	0.00838	0.0289
 3.80	 24.0	 1.29	 14.6	 29.8	0.00750	0.0289
 3.90	 24.0	 1.29	 14.5	 29.9	0.0110	0.0288
 4.00	 24.0	 1.29	 14.5	 29.9	0.00691	0.0291
 4.10	 24.0	 1.29	 14.7	 29.9	0.0128	0.0288
