Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	 29.9	 1.34	 15.9	 29.8	0.0119	0.0343
 1.00	 29.9	 1.34	 16.0	 29.8	0.00809	0.0345
 2.00	 29.9	 1.34	 15.6	 29.9	0.00809	0.0343
 3.00	 29.9	 1.34	 15.9	 29.9	0.00484	0.0341
 4.00	 29.9	 1.34	 15.7	 29.9	0.00395	0.0343
 5.00	 29.8	 1.34	 15.7	 29.9	0.00454	0.0345
 6.00	 29.8	 1.34	 15.7	 29.9	0.00484	0.0341
 7.00	 29.8	 1.34	 16.0	 29.9	0.00661	0.0343
 8.00	 29.8	 1.34	 16.0	 29.8	0.00838	0.0341
 9.00	 29.7	 1.34	 15.6	 29.9	0.00189	0.0345
 10.0	 29.8	 1.34	 15.8	 29.9	0.00277	0.0341
 11.0	 29.7	 1.34	 16.0	 29.8	0.00809	0.0343
 12.0	 29.7	 1.34	 15.7	 29.8	0.00573	0.0345
 13.0	 29.7	 1.34	 15.8	 29.9	0.00189	0.0343
 14.0	 29.6	 1.34	 15.6	 29.9	0.0105	0.0343
 15.0	 29.5	 1.34	 15.8	 29.9	0.00395	0.0343
 16.0	 29.6	 1.34	 15.8	 29.9	0.00100	0.0341
 17.0	 29.6	 1.34	 16.0	 29.9	0.00277	0.0341
 18.0	 29.5	 1.34	 16.0	 29.8	0.00809	0.0345
 19.0	 29.5	 1.34	 15.7	 29.9	0.00248	0.0341
 20.0	 29.5	 1.34	 15.8	 29.9	0.00897	0.0345
 21.0	 29.5	 1.34	 16.0	 29.9	0.00454	0.0345
 22.0	 29.4	 1.34	 16.0	 29.8	0.00484	0.0343
 23.0	 29.4	 1.34	 15.9	 29.9	0.00779	0.0341
 24.0	 29.4	 1.34	 15.7	 29.8	0.00366	0.0343
 25.0	 29.4	 1.34	 15.8	 29.8	0.00632	0.0345
 26.0	 29.3	 1.34	 15.6	 29.9	0.00425	0.0343
 27.0	 29.4	 1.34	 15.8	 29.8	0.0134	0.0345
 28.0	 29.3	 1.34	 15.6	 29.9	0.00691	0.0343
 29.0	 29.3	 1.34	 15.9	 29.8	0.00543	0.0343
