Time	Temp	SampVolt	HallVolt	SampCurr	MagCurr	MagField
 0.00	 23.8	 1.32	  123	 30.1	 2.11	 1.08
 1.00	 23.9	 1.32	  123	 30.1	 2.11	 1.08
 2.00	 23.9	 1.32	  122	 30.1	 2.11	 1.08
 3.00	 23.8	 1.32	  122	 30.1	 2.12	 1.08
 4.00	 23.8	 1.32	  122	 30.1	 2.11	 1.08
 5.00	 23.8	 1.32	  123	 30.1	 2.10	 1.08
 6.00	 23.8	 1.32	  123	 30.1	 2.11	 1.08
 7.00	 23.9	 1.32	  123	 30.0	 2.11	 1.08
 8.00	 23.8	 1.32	  123	 30.1	 2.11	 1.08
 9.00	 23.8	 1.32	  124	 30.1	 2.11	 1.08
 10.0	 23.8	 1.32	  123	 30.1	 2.11	 1.08
 11.0	 23.8	 1.32	  124	 30.0	 2.11	 1.08
 12.0	 23.8	 1.32	  122	 30.1	 2.11	 1.08
 13.0	 23.8	 1.32	  124	 30.1	 2.11	 1.07
 14.0	 23.8	 1.32	  124	 30.0	 2.11	 1.08
 15.0	 23.8	 1.32	  122	 30.1	 2.11	 1.08
 16.0	 23.9	 1.32	  123	 30.0	 2.11	 1.07
 17.0	 23.9	 1.32	  122	 30.1	 2.11	 1.07
 18.0	 24.0	 1.32	  124	 30.0	 2.11	 1.08
 19.0	 24.0	 1.32	  124	 30.1	 2.11	 1.08
 20.0	 24.1	 1.32	  123	 30.0	 2.11	 1.08
 21.0	 24.1	 1.32	  124	 30.0	 2.11	 1.08
 22.0	 24.1	 1.32	  123	 30.0	 2.11	 1.08
 23.0	 24.2	 1.32	  123	 30.0	 2.11	 1.08
 24.0	 24.2	 1.32	  123	 30.0	 2.10	 1.08
 25.0	 24.3	 1.32	  123	 30.1	 2.11	 1.07
 26.0	 24.2	 1.32	  123	 30.0	 2.11	 1.08
 27.0	 24.4	 1.32	  122	 30.1	 2.10	 1.08
 28.0	 24.4	 1.32	  123	 30.0	 2.10	 1.08
 29.0	 24.4	 1.32	  122	 30.0	 2.11	 1.07
 30.0	 24.4	 1.32	  123	 30.0	 2.10	 1.08
 31.0	 24.5	 1.32	  123	 30.1	 2.11	 1.07
 32.0	 24.5	 1.32	  124	 30.1	 2.11	 1.07
 33.0	 24.5	 1.33	  123	 30.1	 2.11	 1.07
 34.0	 24.6	 1.33	  123	 30.0	 2.11	 1.07
 35.0	 24.6	 1.33	  124	 30.1	 2.11	 1.07
 36.0	 24.7	 1.33	  123	 30.1	 2.11	 1.08
 37.0	 24.6	 1.33	  124	 30.1	 2.10	 1.07
 38.0	 24.7	 1.33	  124	 30.0	 2.11	 1.07
 39.0	 24.8	 1.33	  122	 30.1	 2.10	 1.07
 40.0	 24.8	 1.33	  123	 30.0	 2.10	 1.07
 41.0	 24.8	 1.33	  122	 30.1	 2.10	 1.07
 42.0	 24.8	 1.33	  122	 30.1	 2.11	 1.07
 43.0	 24.9	 1.33	  123	 30.1	 2.11	 1.07
 44.0	 24.9	 1.33	  124	 30.1	 2.11	 1.07
 45.0	 24.9	 1.33	  123	 30.1	 2.11	 1.07
 46.0	 24.9	 1.33	  124	 30.1	 2.10	 1.07
 47.0	 25.0	 1.33	  122	 30.1	 2.10	 1.07
 48.0	 25.0	 1.33	  124	 30.1	 2.10	 1.07
 49.0	 25.0	 1.33	  123	 30.1	 2.10	 1.07
 50.0	 25.0	 1.33	  122	 30.1	 2.10	 1.07
 51.0	 25.1	 1.33	  122	 30.0	 2.12	 1.07
 52.0	 25.1	 1.33	  123	 30.0	 2.11	 1.07
 53.0	 25.1	 1.33	  123	 30.1	 2.11	 1.07
 54.0	 25.2	 1.33	  124	 30.1	 2.11	 1.07
 55.0	 25.3	 1.33	  124	 30.0	 2.11	 1.07
 56.0	 25.2	 1.33	  124	 30.1	 2.12	 1.07
 57.0	 25.3	 1.33	  122	 30.1	 2.12	 1.07
 58.0	 25.3	 1.33	  124	 30.0	 2.11	 1.07
 59.0	 25.3	 1.33	  123	 30.1	 2.12	 1.07
 60.0	 25.4	 1.33	  122	 30.1	 2.12	 1.07
 61.0	 25.4	 1.33	  124	 30.1	 2.12	 1.07
 62.0	 25.4	 1.33	  124	 30.1	 2.11	 1.07
 63.0	 25.4	 1.33	  123	 30.0	 2.11	 1.07
 64.0	 25.4	 1.33	  122	 30.1	 2.12	 1.07
 65.0	 25.5	 1.33	  124	 30.1	 2.11	 1.07
 66.0	 25.5	 1.33	  122	 30.0	 2.11	 1.07
 67.0	 25.5	 1.33	  122	 30.1	 2.11	 1.07
 68.0	 25.6	 1.33	  122	 30.1	 2.11	 1.07
 69.0	 25.6	 1.33	  123	 30.1	 2.11	 1.07
 70.0	 25.5	 1.34	  123	 30.0	 2.11	 1.07
 71.0	 25.6	 1.33	  123	 30.0	 2.11	 1.07
