Time(sec),Counts
0.6,33
0.9,37
1.2,40
1.5,40
1.8,42
2.1,33
2.4,39
2.7,38
3,33
3.3,49
3.6,32
3.9,33
4.2,39
4.5,42
4.8,41
5.1,38
5.4,54
5.7,29
6,38
6.3,39
6.6,51
6.9,44
7.2,37
7.5,45
7.8,39
8.1,38
8.4,27
8.7,30
9,38
9.3,35
9.6,45
9.9,29
10.2,41
10.5,39
10.8,51
11.1,44
11.4,40
11.7,45
12,30
12.3,36
12.6,31
12.9,34
13.2,36
13.5,31
13.8,31
14.1,38
14.4,43
14.7,43
15,44
15.3,43
15.6,32
15.9,35
16.2,59
16.5,39
16.8,42
17.1,43
17.4,34
17.7,33
18,42
18.3,37
18.6,40
18.9,36
19.2,51
19.5,34
19.8,43
20.1,43
20.4,39
20.7,35
21,42
21.3,42
21.6,38
21.9,35
22.2,32
22.5,35
22.8,42
23.1,46
23.4,48
23.7,37
24,38
24.3,44
24.6,41
24.9,43
25.2,40
25.5,24
25.8,38
26.1,55
26.4,46
26.7,30
27,41
27.3,42
27.6,52
27.9,40
28.2,27
28.5,36
28.8,41
29.1,35
29.4,30
29.7,45
30,37
30.3,39
30.6,42
30.9,47
31.2,45
31.5,40
31.8,32
32.1,41
32.4,52
32.7,29
33,40
33.3,40
33.6,46
33.9,33
34.2,43
34.5,32
34.8,36
35.1,42
35.4,36
35.7,28
36,46
36.3,44
36.6,37
36.9,41
37.2,38
37.5,50
37.8,34
38.1,41
38.4,33
38.7,38
39,45
39.3,47
39.6,28
39.9,31
40.2,41
40.5,43
40.8,42
41.1,36
41.4,36
41.7,38
42,43
42.3,52
42.6,47
42.9,36
43.2,35
43.5,37
43.8,44
44.1,44
44.4,40
44.7,39
45,37
45.3,52
45.6,37
45.9,44
46.2,33
46.5,47
46.8,39
47.1,34
47.4,38
47.7,42
48,44
48.3,30
48.6,35
48.9,39
49.2,45
49.5,39
49.8,35
50.1,48
50.4,35
50.7,38
51,33
51.3,36
51.6,37
51.9,32
52.2,38
52.5,48
52.8,42
53.1,45
53.4,57
53.7,33
54,39
54.3,33
54.6,42
54.9,39
55.2,24
55.5,41
55.8,47
56.1,47
56.4,48
56.7,29
57,44
57.3,45
57.6,44
57.9,39
58.2,32
58.5,39
58.8,43
59.1,41
59.4,25
59.7,37
60,39
60.3,38
60.6,44
60.9,28
61.2,37
61.5,36
61.8,38
62.1,27
62.4,33
62.7,55
63,39
63.3,36
63.6,35
63.9,51
64.2,36
64.5,41
64.8,47
65.1,48
65.4,39
65.7,28
66,46
66.3,40
66.6,37
66.9,38
67.2,39
67.5,27
67.8,41
68.1,31
68.4,43
68.7,38
69,37
69.3,38
69.6,44
69.9,31
70.2,38
70.5,30
70.8,42
71.1,34
71.4,37
71.7,53
72,38
72.3,43
72.6,29
72.9,39
73.2,36
73.5,48
73.8,44
74.1,38
74.4,29
74.7,34
75,54
75.3,25
75.6,47
75.9,42
76.2,30
76.5,41
76.8,32
77.1,29
77.4,50
77.7,43
78,40
78.3,42
78.6,42
78.9,37
79.2,31
79.5,31
79.8,37
80.1,44
80.4,56
80.7,40
81,45
81.3,29
81.6,38
81.9,43
82.2,35
82.5,32
82.8,50
83.1,41
83.4,41
83.7,38
84,51
84.3,38
84.6,39
84.9,28
85.2,45
85.5,41
85.8,51
86.1,47
86.4,34
86.7,42
87,44
87.3,51
87.6,41
87.9,39
88.2,41
88.5,36
88.8,49
89.1,54
89.4,38
89.7,38
90,40
90.3,54
90.6,31
90.9,38
91.2,41
91.5,32
91.8,42
92.1,51
92.4,34
92.7,51
93,43
93.3,51
93.6,39
93.9,33
94.2,46
94.5,31
94.8,45
95.1,35
95.4,28
95.7,42
96,43
96.3,46
96.6,39
96.9,45
97.2,36
97.5,45
97.8,47
98.1,34
98.4,45
98.7,41
99,40
99.3,29
99.6,47
99.9,33
100,43
101,41
101,43
101,49
101,39
102,33
102,51
102,37
103,50
103,38
103,55
104,34
104,45
104,33
104,39
105,39
105,50
105,49
106,41
106,44
106,40
107,42
107,35
107,41
107,34
108,47
108,41
108,35
109,55
109,47
109,48
110,39
110,48
110,51
110,43
111,43
111,34
111,39
112,54
112,36
112,49
113,45
113,36
113,38
113,34
114,38
114,39
114,34
115,23
115,49
115,47
116,31
116,35
116,46
116,37
117,36
117,39
117,41
118,40
118,35
118,45
119,37
119,44
119,52
119,40
120,39
120,37
120,44
121,41
121,43
121,41
122,44
122,35
122,37
122,35
123,43
123,34
123,43
124,49
124,45
124,36
125,37
125,39
125,38
125,39
126,48
126,43
126,36
127,39
127,42
127,49
128,32
128,31
128,41
128,38
129,40
129,39
129,29
130,46
130,39
130,35
131,34
131,41
131,46
131,38
