Time(sec),Counts
0.6,437
0.9,382
1.2,399
1.5,446
1.8,378
2.1,415
2.4,393
2.7,443
3,384
3.3,437
3.6,387
3.9,407
4.2,412
4.5,422
4.8,395
5.1,418
5.4,402
5.7,420
6,398
6.3,435
6.6,385
6.9,403
7.2,430
7.5,428
7.8,437
8.1,389
8.4,381
8.7,385
9,425
9.3,407
9.6,401
9.9,426
10.2,435
10.5,404
10.8,393
11.1,360
11.4,375
11.7,403
12,426
12.3,379
12.6,407
12.9,399
13.2,342
13.5,397
13.8,433
14.1,421
14.4,402
14.7,435
15,398
15.3,419
15.6,452
15.9,359
16.2,365
16.5,404
16.8,488
17.1,397
17.4,362
17.7,405
18,401
18.3,411
18.6,422
18.9,428
19.2,405
19.5,409
19.8,388
20.1,424
20.4,447
20.7,395
21,415
21.3,424
21.6,408
21.9,406
22.2,436
22.5,423
22.8,444
23.1,418
23.4,411
23.7,430
24,429
24.3,420
24.6,382
24.9,386
25.2,404
25.5,409
25.8,414
26.1,426
26.4,408
26.7,410
27,411
27.3,394
27.6,415
27.9,407
28.2,332
28.5,480
28.8,395
29.1,422
29.4,410
29.7,438
30,407
30.3,419
