Time(sec),Counts
0.6,87
0.9,93
1.2,83
1.5,82
1.8,66
2.1,77
2.4,71
2.7,95
3,86
3.3,89
3.6,72
3.9,82
4.2,80
4.5,63
4.8,71
5.1,91
5.4,85
5.7,103
6,86
6.3,91
6.6,97
6.9,89
7.2,99
7.5,92
7.8,80
8.1,81
8.4,86
8.7,80
9,73
9.3,80
9.6,62
9.9,85
10.2,87
10.5,82
10.8,77
11.1,82
11.4,85
11.7,91
12,101
12.3,103
12.6,73
12.9,96
13.2,84
13.5,78
13.8,88
14.1,85
14.4,81
14.7,83
15,81
15.3,78
15.6,85
15.9,71
16.2,88
16.5,91
16.8,92
17.1,82
17.4,82
17.7,81
18,86
18.3,78
18.6,67
18.9,98
19.2,69
19.5,81
19.8,72
20.1,91
20.4,72
20.7,102
21,72
21.3,92
21.6,75
21.9,92
22.2,101
22.5,91
22.8,81
23.1,76
23.4,88
23.7,87
24,81
24.3,93
24.6,89
24.9,67
25.2,85
25.5,90
25.8,85
26.1,67
26.4,81
26.7,90
27,72
27.3,85
27.6,77
27.9,78
28.2,81
28.5,77
28.8,88
29.1,76
29.4,89
29.7,89
30,71
30.3,104
