Part 3.b (A),,,
Time(sec),Angle(V),Diode(V),cps
0,0.00202,0.133,0
0.801,0.00751,0.138,0
1.4,0.0118,0.13,0
1.6,0.0166,0.143,0
1.7,0.021,0.145,0
1.8,0.0261,0.141,0
1.9,0.0292,0.142,0
2.5,0.0341,0.142,0
2.6,0.0399,0.153,0
2.7,0.0444,0.152,0
2.8,0.052,0.155,0
3.4,0.0609,0.151,0
3.5,0.0688,0.154,0
3.6,0.0728,0.162,0
3.7,0.0775,0.155,0
4.2,0.085,0.166,0
4.3,0.0945,0.169,0
4.4,0.103,0.164,0
4.5,0.11,0.17,0
5.1,0.119,0.174,0
5.2,0.128,0.172,0
5.3,0.132,0.17,0
5.8,0.147,0.175,0
5.9,0.152,0.183,0
6,0.161,0.186,0
6.8,0.173,0.185,0
6.9,0.179,0.189,0
7,0.184,0.193,0
7.5,0.195,0.183,0
7.6,0.206,0.192,0
7.7,0.217,0.191,0
7.8,0.226,0.194,0
7.9,0.237,0.201,0
8.5,0.245,0.197,0
8.6,0.253,0.203,0
8.7,0.265,0.21,0
8.8,0.274,0.209,0
8.9,0.282,0.213,0
9,0.293,0.202,0
9.7,0.306,0.207,0
9.8,0.315,0.205,0
9.9,0.33,0.21,0
10,0.342,0.208,0
10.7,0.35,0.214,0
10.8,0.36,0.211,0
10.9,0.37,0.215,0
11,0.38,0.22,0
11.1,0.387,0.217,0
11.2,0.397,0.217,0
11.8,0.406,0.207,0
11.9,0.419,0.21,0
12,0.433,0.213,0
12.1,0.436,0.209,0
12.2,0.448,0.21,0
12.8,0.457,0.21,0
12.9,0.471,0.213,0
13,0.482,0.214,0
13.1,0.493,0.206,0
13.2,0.496,0.202,0
13.3,0.493,0.203,0
13.5,0.503,0.2,0
14,0.509,0.206,0
14.1,0.519,0.198,0
14.2,0.533,0.195,0
14.3,0.543,0.196,0
14.4,0.549,0.193,0
14.5,0.552,0.196,0
15.2,0.564,0.198,0
15.3,0.577,0.184,0
15.4,0.589,0.191,0
15.5,0.601,0.181,0
15.6,0.604,0.181,0
15.7,0.61,0.177,0
16.4,0.62,0.177,0
16.5,0.636,0.173,0
16.6,0.646,0.173,0
16.7,0.662,0.165,0
16.8,0.66,0.169,0
16.9,0.662,0.16,0
17,0.664,0.164,0
17.5,0.676,0.159,0
17.6,0.687,0.163,0
17.7,0.7,0.152,0
17.8,0.709,0.148,0
17.9,0.715,0.143,0
18,0.713,0.142,0
18.5,0.721,0.149,0
18.7,0.732,0.141,0
18.8,0.743,0.14,0
18.9,0.756,0.131,0
19,0.764,0.134,0
19.1,0.766,0.129,0
19.2,0.763,0.128,0
19.4,0.766,0.128,0
19.5,0.772,0.129,0
19.7,0.783,0.122,0
19.8,0.791,0.122,0
19.9,0.795,0.123,0
20,0.803,0.112,0
20.1,0.809,0.115,0
20.2,0.815,0.118,0
20.3,0.824,0.111,0
20.9,0.832,0.109,0
21,0.84,0.0988,0
21.1,0.851,0.101,0
21.2,0.858,0.092,0
21.3,0.863,0.0969,0
21.4,0.86,0.0969,0
21.6,0.862,0.0998,0
21.7,0.866,0.0965,0
21.9,0.875,0.0897,0
22,0.883,0.0851,0
22.1,0.89,0.0825,0
22.2,0.901,0.0773,0
22.3,0.907,0.0757,0
22.5,0.912,0.0812,0
23,0.924,0.0715,0
23.1,0.927,0.0711,0
23.3,0.933,0.0708,0
23.4,0.945,0.063,0
23.5,0.948,0.0646,0
23.6,0.946,0.0676,0
23.8,0.949,0.0607,0
24.1,0.961,0.0584,0
24.2,0.97,0.0597,0
24.3,0.977,0.0565,0
24.4,0.979,0.0575,0
24.5,0.976,0.0562,0
25.1,0.97,0.064,0
25.3,0.963,0.0597,0
25.4,0.96,0.0659,0
25.5,0.956,0.0653,0
25.6,0.953,0.0711,0
25.7,0.944,0.0721,0
26.2,0.938,0.0711,0
26.4,0.934,0.0744,0
26.5,0.928,0.0773,0
26.6,0.919,0.0829,0
26.7,0.921,0.078,0
26.8,0.913,0.0819,0
27.2,0.906,0.0877,0
27.4,0.893,0.0943,0
27.5,0.889,0.0952,0
27.7,0.891,0.0959,0
