Time(sec),Angle(V),Diode(V),cps
0,0.00215,0.379,0
0.1,0.00513,0.411,0
0.7,0.00758,0.424,0
0.9,0.0127,0.425,0
1.1,0.0168,0.378,0
1.2,0.0198,0.331,0
1.3,0.0243,0.294,0
1.5,0.0278,0.267,0
1.6,0.0303,0.246,0
1.7,0.0339,0.227,0
2.4,0.0379,0.191,0
2.5,0.0428,0.167,0
2.6,0.0472,0.135,0
2.7,0.0511,0.112,0
2.8,0.0564,0.0793,0
2.9,0.0608,0.0637,0
3,0.0662,0.0565,0
3.1,0.0688,0.0545,0
3.7,0.0732,0.0519,0
3.8,0.0775,0.0659,0
3.9,0.0841,0.091,0
4,0.0927,0.149,0
4.1,0.0984,0.201,0
4.2,0.101,0.235,0
4.3,0.104,0.265,0
4.9,0.109,0.327,0
5,0.114,0.387,0
5.1,0.121,0.468,0
5.2,0.127,0.536,0
5.3,0.134,0.593,0
5.4,0.136,0.617,0
5.5,0.141,0.652,0
6.2,0.146,0.684,0
6.3,0.152,0.694,0
6.4,0.159,0.688,0
6.5,0.164,0.666,0
6.6,0.169,0.65,0
6.7,0.172,0.629,0
7.3,0.179,0.558,0
7.4,0.186,0.484,0
7.5,0.196,0.363,0
7.6,0.202,0.276,0
7.7,0.205,0.25,0
7.8,0.214,0.156,0
8.4,0.218,0.127,0
8.5,0.224,0.0949,0
8.6,0.235,0.0751,0
8.7,0.241,0.0985,0
8.8,0.245,0.124,0
8.9,0.247,0.14,0
9.6,0.257,0.246,0
9.7,0.269,0.421,0
9.8,0.278,0.566,0
9.9,0.292,0.766,0
10,0.295,0.814,0
10.6,0.304,0.885,0
10.7,0.316,0.934,0
10.8,0.323,0.917,0
10.9,0.333,0.835,0
11,0.34,0.745,0
11.1,0.343,0.706,0
11.6,0.35,0.583,0
11.7,0.359,0.462,0
11.8,0.37,0.288,0
11.9,0.377,0.196,0
12,0.39,0.108,0
12.1,0.394,0.109,0
12.3,0.399,0.103,0
12.7,0.406,0.13,0
