Time(sec),Angle(V),Diode(V),cps
0,0.00433,0.0877,0
0.1,0.0116,0.0959,0
1,0.0153,0.0969,0
1.1,0.0201,0.104,0
1.2,0.0228,0.104,0
1.3,0.0271,0.115,0
1.4,0.0327,0.11,0
1.5,0.0402,0.114,0
2.3,0.0457,0.117,0
2.4,0.0517,0.123,0
2.5,0.0601,0.126,0
2.6,0.0658,0.138,0
2.7,0.0709,0.141,0
3.3,0.0768,0.146,0
3.4,0.0834,0.145,0
3.5,0.0919,0.151,0
3.6,0.0948,0.153,0
3.7,0.0989,0.156,0
4.2,0.106,0.157,0
4.3,0.112,0.158,0
4.4,0.121,0.17,0
4.5,0.127,0.17,0
4.6,0.133,0.182,0
5.1,0.14,0.18,0
5.2,0.15,0.185,0
5.3,0.156,0.189,0
5.4,0.164,0.203,0
6,0.171,0.206,0
6.1,0.18,0.21,0
6.2,0.188,0.212,0
6.3,0.191,0.221,0
6.8,0.197,0.215,0
6.9,0.204,0.225,0
7,0.211,0.233,0
7.1,0.219,0.236,0
7.2,0.222,0.239,0
7.8,0.228,0.24,0
7.9,0.237,0.248,0
8,0.248,0.261,0
8.1,0.252,0.254,0
8.7,0.26,0.263,0
8.8,0.268,0.262,0
8.9,0.276,0.275,0
9,0.279,0.27,0
9.1,0.284,0.279,0
9.6,0.29,0.284,0
9.7,0.299,0.282,0
9.8,0.304,0.284,0
9.9,0.308,0.293,0
10,0.313,0.3,0
10.5,0.319,0.304,0
10.6,0.325,0.299,0
10.7,0.333,0.314,0
10.8,0.336,0.306,0
10.9,0.339,0.313,0
11.3,0.347,0.314,0
11.4,0.357,0.317,0
11.5,0.363,0.319,0
11.6,0.365,0.327,0
11.9,0.374,0.333,0
12.3,0.384,0.331,0
12.4,0.392,0.337,0
12.5,0.396,0.335,0
12.6,0.398,0.346,0
13.1,0.405,0.338,0
13.2,0.416,0.337,0
13.3,0.422,0.353,0
13.4,0.43,0.343,0
13.5,0.438,0.351,0
14.1,0.447,0.36,0
14.2,0.457,0.369,0
14.3,0.46,0.358,0
14.4,0.463,0.36,0
14.8,0.472,0.364,0
14.9,0.481,0.37,0
15,0.487,0.375,0
15.1,0.496,0.379,0
15.2,0.506,0.381,0
15.7,0.515,0.384,0
15.8,0.523,0.373,0
15.9,0.53,0.374,0
16,0.527,0.38,0
16.2,0.535,0.385,0
16.5,0.541,0.388,0
16.6,0.549,0.387,0
16.7,0.56,0.389,0
16.8,0.566,0.384,0
16.9,0.574,0.381,0
17.4,0.585,0.381,0
17.5,0.593,0.383,0
17.6,0.597,0.386,0
17.9,0.605,0.379,0
18.2,0.614,0.378,0
18.3,0.62,0.381,0
18.4,0.631,0.382,0
18.5,0.633,0.374,0
18.6,0.63,0.384,0
18.9,0.637,0.381,0
19,0.648,0.383,0
19.1,0.659,0.37,0
19.2,0.666,0.377,0
19.3,0.669,0.373,0
19.4,0.672,0.363,0
19.6,0.669,0.375,0
19.8,0.678,0.367,0
20,0.69,0.36,0
20.1,0.701,0.369,0
20.2,0.705,0.357,0
20.4,0.703,0.367,0
20.5,0.705,0.364,0
20.7,0.715,0.353,0
21,0.723,0.359,0
21.1,0.73,0.349,0
21.2,0.732,0.347,0
21.3,0.729,0.356,0
21.6,0.74,0.356,0
21.8,0.753,0.338,0
21.9,0.756,0.345,0
22,0.76,0.336,0
22.1,0.757,0.344,0
22.2,0.76,0.338,0
22.3,0.768,0.342,0
22.6,0.775,0.339,0
22.7,0.786,0.335,0
22.8,0.798,0.324,0
22.9,0.795,0.315,0
23.1,0.798,0.318,0
23.2,0.801,0.327,0
23.4,0.807,0.318,0
23.5,0.816,0.31,0
23.6,0.821,0.307,0
23.7,0.824,0.302,0
23.9,0.827,0.308,0
24.1,0.834,0.302,0
24.2,0.854,0.291,0
24.3,0.856,0.289,0
24.4,0.853,0.288,0
24.8,0.86,0.28,0
24.9,0.875,0.273,0
25,0.882,0.268,0
25.1,0.893,0.262,0
25.2,0.899,0.26,0
25.7,0.91,0.247,0
25.9,0.918,0.248,0
26,0.926,0.235,0
26.1,0.924,0.242,0
26.3,0.927,0.236,0
26.4,0.934,0.236,0
26.7,0.95,0.225,0
26.8,0.956,0.208,0
26.9,0.961,0.209,0
27,0.963,0.207,0
27.4,0.969,0.206,0
27.5,0.978,0.199,0
27.6,0.98,0.195,0
28.3,0.977,0.19,0
28.7,0.98,0.193,0
28.9,0.974,0.202,0
29.2,0.969,0.21,0
29.3,0.966,0.219,0
29.4,0.962,0.225,0
29.5,0.954,0.228,0
29.6,0.952,0.225,0
29.7,0.946,0.242,0
29.8,0.939,0.243,0
30.2,0.936,0.248,0
30.3,0.931,0.242,0
30.4,0.927,0.247,0
30.5,0.921,0.256,0
30.6,0.918,0.259,0
30.9,0.921,0.257,0
31,0.914,0.26,0
31.1,0.907,0.272,0
31.2,0.892,0.279,0
31.3,0.894,0.273,0
31.4,0.89,0.273,0
31.8,0.881,0.287,0
31.9,0.867,0.298,0
32,0.864,0.291,0
32.1,0.861,0.302,0
32.3,0.864,0.286,0
32.4,0.857,0.297,0
32.6,0.847,0.304,0
32.7,0.843,0.312,0
32.8,0.837,0.31,0
32.9,0.84,0.306,0
33,0.837,0.309,0
33.1,0.841,0.301,0
33.2,0.833,0.314,0
33.3,0.827,0.314,0
33.4,0.821,0.315,0
33.5,0.824,0.315,0
33.7,0.814,0.32,0
34,0.806,0.326,0
34.1,0.796,0.331,0
34.2,0.793,0.327,0
34.7,0.784,0.34,0
34.8,0.779,0.347,0
34.9,0.771,0.342,0
35,0.754,0.347,0
35.6,0.746,0.354,0
35.7,0.741,0.355,0
35.8,0.738,0.352,0
36.2,0.73,0.355,0
36.3,0.716,0.364,0
36.4,0.71,0.369,0
36.5,0.708,0.374,0
36.7,0.71,0.369,0
36.8,0.707,0.372,0
37,0.695,0.366,0
37.1,0.68,0.381,0
37.2,0.672,0.377,0
37.3,0.668,0.382,0
37.4,0.655,0.371,0
37.9,0.639,0.386,0
38,0.632,0.378,0
38.1,0.629,0.38,0
38.2,0.627,0.385,0
38.4,0.623,0.374,0
38.6,0.609,0.385,0
38.7,0.598,0.377,0
38.8,0.591,0.387,0
38.9,0.593,0.381,0
39.2,0.582,0.382,0
39.4,0.564,0.382,0
39.5,0.559,0.381,0
39.6,0.561,0.377,0
39.7,0.559,0.382,0
40,0.556,0.386,0
40.1,0.541,0.378,0
40.2,0.536,0.385,0
40.3,0.533,0.382,0
40.4,0.525,0.373,0
40.9,0.513,0.377,0
41,0.5,0.368,0
41.1,0.497,0.365,0
41.2,0.483,0.362,0
41.7,0.47,0.359,0
41.8,0.466,0.363,0
41.9,0.463,0.361,0
42.3,0.456,0.361,0
42.4,0.442,0.352,0
42.5,0.44,0.343,0
42.6,0.437,0.352,0
42.7,0.43,0.342,0
43.2,0.42,0.341,0
43.3,0.413,0.341,0
43.4,0.411,0.342,0
44,0.403,0.336,0
44.1,0.395,0.334,0
44.2,0.382,0.326,0
44.3,0.38,0.328,0
44.4,0.378,0.316,0
44.5,0.37,0.318,0
44.9,0.359,0.314,0
45,0.352,0.312,0
45.1,0.349,0.311,0
45.3,0.338,0.297,0
