Time(sec),Angle(V),Diode(V),cps
0,0.0137,0.00927,457
2.5,0.0256,0.00992,540
2.6,0.0374,0.00992,450
2.7,0.0562,0.0096,590
2.9,0.0714,0.0096,587
3.6,0.0934,0.0135,570
3.8,0.105,0.0106,610
3.9,0.118,0.0096,560
4.1,0.137,0.0148,485
4.3,0.15,0.0109,601
5,0.162,0.0109,680
5.1,0.175,0.00732,540
5.2,0.19,0.00895,620
5.3,0.209,0.0106,600
5.5,0.22,0.00764,611
6.3,0.232,0.0102,660
6.4,0.253,0.00992,560
6.5,0.271,0.00829,760
6.6,0.283,0.0132,690
6.7,0.294,0.00992,639
7.5,0.31,0.0106,590
7.7,0.324,0.0125,570
7.9,0.344,0.0119,540
8,0.365,0.0102,540
8.1,0.383,0.0112,606
8.8,0.394,0.0112,580
8.9,0.417,0.0122,605
9.1,0.44,0.00862,535
9.3,0.453,0.00895,650
9.4,0.465,0.0119,610
9.5,0.475,0.0112,547
10.2,0.488,0.0096,620
10.3,0.5,0.00829,450
10.4,0.514,0.0109,530
10.6,0.533,0.0109,520
10.8,0.559,0.00829,462
11.6,0.58,0.0122,410
11.7,0.591,0.00829,380
11.8,0.603,0.0109,435
12,0.621,0.0122,388
12.6,0.639,0.0129,390
12.7,0.652,0.0102,320
12.8,0.671,0.0112,320
12.9,0.682,0.0119,297
13.5,0.701,0.0102,310
13.6,0.72,0.00862,405
13.8,0.73,0.0106,325
14.4,0.766,0.0109,300
14.6,0.785,0.0112,340
14.7,0.805,0.0119,261
15.5,0.818,0.0102,290
15.6,0.832,0.0145,190
15.7,0.848,0.0109,210
15.8,0.869,0.0116,260
16.4,0.883,0.0116,190
16.5,0.901,0.0122,190
16.6,0.913,0.0096,110
16.7,0.925,0.0106,200
16.8,0.953,0.00992,233
17.5,0.971,0.0125,210
17.6,0.982,0.00862,230
17.8,0.982,0.0142,198
