Time(sec),Angle(V),Diode(V),cps
0,0.695,0.00764,20
0.1,0.706,0.00992,238
3,0.721,0.00829,430
3.2,0.737,0.0096,634
3.9,0.749,0.0129,775
4.1,0.765,0.0102,713
4.7,0.78,0.0119,600
4.9,0.793,0.00829,485
5.5,0.803,0.0122,339
6.2,0.82,0.0122,320
6.4,0.834,0.0109,230
6.6,0.856,0.0122,314
7.1,0.873,0.00764,465
7.3,0.887,0.00829,453
7.9,0.897,0.0129,445
8.1,0.912,0.0112,419
8.9,0.925,0.00992,308
9.3,0.937,0.0109,305
9.7,0.95,0.00895,237
10,0.965,0.00895,237
10.3,0.975,0.0129,260
10.7,0.96,0.0148,274
12.4,0.946,0.0129,258
12.9,0.934,0.00895,319
13.9,0.923,0.0096,428
14.3,0.911,0.0125,415
15.1,0.901,0.0142,527
15.4,0.889,0.0112,437
15.7,0.878,0.0116,457
16.3,0.865,0.0112,432
17.1,0.853,0.00862,315
17.3,0.843,0.0102,340
17.5,0.831,0.00927,259
18.2,0.814,0.0145,313
18.5,0.8,0.0132,365
19.3,0.786,0.0132,650
19.4,0.771,0.0096,694
20.1,0.758,0.00862,750
20.3,0.746,0.0125,714
21,0.735,0.0119,677
21.3,0.722,0.00927,507
21.6,0.711,0.0116,400
22.3,0.694,0.00732,300
22.6,0.679,0.0122,281
23.3,0.668,0.00992,480
23.5,0.657,0.0142,682
23.9,0.646,0.0106,813
24.6,0.635,0.0102,1180
24.8,0.622,0.00829,1100
25.7,0.602,0.0112,992
26.5,0.589,0.0106,680
27,0.572,0.0109,549
27.7,0.562,0.00797,266
28.4,0.551,0.00862,290
28.6,0.541,0.0129,503
29.5,0.529,0.00732,775
29.7,0.519,0.00797,955
29.9,0.507,0.0138,1270
30.9,0.496,0.0129,1370
31.1,0.484,0.0125,1390
31.6,0.471,0.00764,1390
32.4,0.46,0.0096,1100
32.7,0.445,0.0102,641
33.4,0.434,0.00829,315
33.8,0.423,0.0119,247
34.5,0.411,0.00992,442
34.9,0.4,0.0106,660
35.7,0.387,0.0109,960
36,0.376,0.0142,1320
36.8,0.362,0.00927,1450
37.2,0.351,0.00699,1520
38.1,0.337,0.0119,1250
38.4,0.327,0.00732,967
39,0.313,0.00927,779
39.7,0.302,0.0125,420
39.9,0.29,0.0142,296
40.8,0.277,0.00927,390
41,0.266,0.00895,676
41.7,0.252,0.00797,802
42.1,0.241,0.00829,1310
42.4,0.23,0.0135,1380
43.2,0.218,0.00829,1420
43.5,0.208,0.0106,1390
44.2,0.193,0.00797,1120
44.4,0.183,0.0129,778
44.9,0.169,0.0109,558
45.4,0.158,0.0096,366
46.3,0.143,0.00992,350
46.5,0.132,0.00927,521
47.3,0.12,0.0116,825
47.5,0.107,0.0125,953
48.4,0.0967,0.0119,1200
48.6,0.0847,0.0109,1190
49.6,0.0744,0.00797,1180
49.8,0.0604,0.0109,1030
51.6,0.0482,0.0145,615
52.4,0.0352,0.00895,467
52.7,0.0198,0.0132,382
53.6,0.00453,0.00895,337
54.6,0.000362,0.00927,281
