Time(sec),Counts
0.6,13
0.9,10
1.2,13
1.5,11
1.8,9
2.1,17
2.4,11
2.7,11
3,11
3.3,13
3.6,24
3.9,17
4.2,10
4.5,9
4.8,11
5.1,9
5.4,8
5.7,10
6,10
6.3,16
6.6,12
6.9,12
7.2,17
7.5,6
7.8,8
8.1,8
8.4,15
8.7,13
9,15
9.3,10
9.6,7
9.9,12
10.2,11
10.5,15
10.8,17
11.1,21
11.4,9
11.7,16
12,11
12.3,10
12.6,9
12.9,7
13.2,16
13.5,8
13.8,9
14.1,14
14.4,12
14.7,10
15,14
15.3,10
15.6,10
15.9,10
16.2,14
16.5,10
16.8,8
17.1,10
17.4,12
17.7,12
18,13
18.3,14
18.6,14
18.9,10
19.2,11
19.5,10
19.8,11
20.1,13
20.4,8
20.7,14
21,13
21.3,18
21.6,11
21.9,16
22.2,15
22.5,12
22.8,14
23.1,18
23.4,11
23.7,8
24,15
24.3,9
24.6,12
24.9,11
25.2,17
25.5,10
25.8,13
26.1,18
26.4,8
26.7,16
27,12
27.3,10
27.6,10
27.9,13
28.2,14
28.5,16
28.8,10
29.1,19
29.4,12
29.7,13
30,14
30.3,9
30.6,20
30.9,13
31.2,9
31.5,15
31.8,9
32.1,14
32.4,16
32.7,17
33,17
33.3,8
33.6,16
33.9,12
34.2,10
34.5,7
34.8,15
35.1,10
35.4,11
35.7,15
36,20
36.3,12
36.6,13
36.9,20
37.2,13
37.5,9
37.8,11
38.1,20
38.4,12
38.7,12
39,11
39.3,9
39.6,13
39.9,12
40.2,9
40.5,15
40.8,9
41.1,15
41.4,18
41.7,9
42,13
42.3,14
42.6,11
42.9,10
43.2,14
43.5,10
43.8,13
44.1,12
44.4,8
44.7,10
45,16
45.3,14
45.6,14
45.9,8
46.2,10
46.5,14
46.8,13
47.1,13
47.4,10
47.7,10
48,12
48.3,13
48.6,10
48.9,12
49.2,10
49.5,12
49.8,9
50.1,6
50.4,19
50.7,8
51,14
51.3,10
51.6,7
51.9,14
52.2,15
52.5,13
52.8,17
53.1,14
53.4,10
53.7,17
54,11
54.3,13
54.6,16
54.9,18
55.2,15
55.5,13
55.8,9
56.1,19
56.4,11
56.7,9
57,18
57.3,9
57.6,12
57.9,14
58.2,20
58.5,12
58.8,13
59.1,13
59.4,9
59.7,12
60,17
60.3,17
60.6,16
60.9,14
61.2,13
61.5,8
61.8,11
62.1,12
62.4,12
62.7,9
63,9
63.3,9
63.6,9
63.9,15
64.2,16
64.5,10
64.8,18
65.1,9
65.4,8
65.7,11
66,9
66.3,15
66.6,13
66.9,11
67.2,6
67.5,12
67.8,13
68.1,13
68.4,9
68.7,14
69,10
69.3,10
69.6,14
69.9,10
70.2,10
70.5,12
70.8,10
71.1,19
71.4,6
71.7,13
72,10
72.3,4
72.6,11
72.9,6
73.2,8
73.5,11
73.8,15
74.1,11
74.4,14
74.7,13
75,19
75.3,11
75.6,13
75.9,9
76.2,15
76.5,8
76.8,10
77.1,13
77.4,12
77.7,11
78,10
78.3,6
78.6,13
78.9,17
79.2,16
79.5,17
79.8,17
80.1,15
80.4,11
80.7,14
81,13
81.3,18
81.6,7
81.9,7
82.2,19
82.5,13
82.8,12
83.1,15
83.4,12
83.7,12
84,11
84.3,10
84.6,10
84.9,17
85.2,9
85.5,15
85.8,15
86.1,16
86.4,15
86.7,17
87,9
87.3,14
87.6,20
87.9,13
88.2,13
88.5,14
88.8,14
89.1,13
89.4,20
89.7,19
90,24
90.3,7
90.6,9
90.9,10
91.2,5
91.5,14
91.8,9
92.1,9
92.4,15
92.7,7
93,6
93.3,17
93.6,12
93.9,11
94.2,22
94.5,16
94.8,7
95.1,14
95.4,12
95.7,15
96,9
96.3,14
96.6,11
96.9,12
97.2,8
97.5,15
97.8,7
98.1,8
98.4,9
98.7,9
99,9
99.3,23
99.6,14
99.9,9
100,12
100,15
101,11
101,13
101,13
102,14
102,5
102,8
103,12
103,14
103,12
103,13
104,14
104,20
104,10
105,17
105,15
105,10
106,12
106,8
106,13
106,14
107,12
107,12
107,8
108,16
108,8
108,13
109,15
109,18
109,13
109,13
110,10
110,7
110,10
111,7
111,15
111,8
112,13
112,9
112,12
112,14
113,8
113,11
113,13
114,6
114,12
114,16
115,17
115,14
115,14
115,12
116,17
116,14
116,6
117,14
117,11
117,11
118,8
118,11
118,19
118,20
119,10
119,11
119,11
120,15
120,12
120,14
121,15
121,6
121,13
121,7
122,18
122,8
122,13
123,7
123,11
123,9
124,12
124,11
124,9
124,10
125,12
125,15
125,11
126,12
126,7
126,13
127,12
127,8
127,12
127,12
128,11
128,14
128,10
129,11
129,13
129,23
130,14
130,13
130,8
130,14
131,13
131,19
131,8
132,13
132,13
132,6
133,15
133,12
133,13
133,10
134,11
134,11
134,9
135,13
135,11
135,12
136,10
136,15
136,8
136,6
137,21
137,10
137,19
138,16
138,13
138,11
139,14
139,14
139,16
139,19
140,11
140,12
140,13
141,15
141,10
141,11
142,13
142,18
142,13
142,9
143,17
143,9
143,21
144,17
144,12
144,11
145,12
145,8
145,6
145,15
146,12
146,14
146,12
147,11
147,14
147,7
148,15
148,4
148,10
148,16
149,13
149,9
149,15
150,10
150,7
150,11
