Time(sec),Counts
0.6,62
0.9,76
1.2,65
1.5,60
1.8,57
2.1,53
2.4,65
2.7,50
3,60
3.3,56
3.6,50
3.9,54
4.2,54
4.5,58
4.8,58
5.1,64
5.4,58
5.7,81
6,59
6.3,61
6.6,62
6.9,51
7.2,50
7.5,70
7.8,64
8.1,65
8.4,57
8.7,69
9,66
9.3,76
9.6,79
9.9,55
10.2,69
10.5,52
10.8,59
11.1,62
11.4,60
11.7,61
12,53
12.3,56
12.6,55
12.9,62
13.2,61
13.5,55
13.8,72
14.1,72
14.4,67
14.7,76
15,69
15.3,62
15.6,65
15.9,72
16.2,67
16.5,65
16.8,65
17.1,50
17.4,65
17.7,59
18,52
18.3,65
18.6,62
18.9,52
19.2,66
19.5,73
19.8,47
20.1,64
20.4,53
20.7,66
21,59
21.3,62
21.6,80
21.9,69
22.2,59
22.5,57
22.8,80
23.1,58
23.4,85
23.7,52
24,57
24.3,69
24.6,53
24.9,69
25.2,56
25.5,52
25.8,65
26.1,59
26.4,59
26.7,53
27,67
27.3,52
27.6,66
27.9,58
28.2,58
28.5,63
28.8,81
29.1,59
29.4,60
29.7,73
30,49
30.3,70
30.6,59
30.9,61
31.2,66
31.5,48
31.8,52
32.1,59
32.4,62
32.7,58
33,73
33.3,54
33.6,68
33.9,67
34.2,58
34.5,69
34.8,58
35.1,68
35.4,63
35.7,65
36,62
36.3,78
36.6,62
36.9,66
37.2,60
37.5,70
37.8,78
38.1,59
38.4,90
38.7,71
39,80
39.3,74
39.6,67
39.9,64
40.2,70
40.5,86
40.8,71
41.1,78
41.4,79
41.7,81
42,76
42.3,96
42.6,54
42.9,61
43.2,53
43.5,88
43.8,63
44.1,75
44.4,69
44.7,72
45,71
45.3,59
45.6,75
45.9,66
46.2,46
46.5,74
46.8,70
47.1,43
47.4,63
47.7,65
48,70
48.3,85
48.6,69
48.9,65
49.2,50
49.5,62
49.8,74
50.1,56
50.4,69
50.7,68
51,66
51.3,68
51.6,62
51.9,87
52.2,71
52.5,67
52.8,87
53.1,75
53.4,83
53.7,75
54,85
54.3,76
54.6,75
54.9,73
55.2,84
55.5,75
55.8,71
56.1,94
56.4,78
56.7,73
57,62
57.3,90
57.6,84
57.9,72
58.2,55
58.5,69
58.8,78
59.1,100
59.4,63
59.7,93
60,71
60.3,70
60.6,82
60.9,76
61.2,73
61.5,72
61.8,75
62.1,71
62.4,78
62.7,68
63,88
63.3,72
63.6,75
63.9,62
64.2,74
64.5,67
64.8,73
65.1,86
65.4,84
65.7,78
66,70
66.3,93
66.6,81
66.9,70
67.2,71
67.5,83
67.8,79
68.1,72
68.4,91
68.7,103
69,107
69.3,84
69.6,88
69.9,95
70.2,82
70.5,77
70.8,94
71.1,72
71.4,80
71.7,100
72,88
72.3,77
72.6,84
72.9,47
73.2,86
73.5,92
73.8,96
74.1,102
74.4,94
74.7,69
75,92
75.3,84
75.6,80
75.9,79
76.2,66
76.5,97
76.8,89
77.1,68
77.4,87
77.7,78
78,81
78.3,99
78.6,75
78.9,82
79.2,91
79.5,95
79.8,88
80.1,95
80.4,93
80.7,118
81,85
81.3,92
81.6,83
81.9,90
82.2,83
82.5,78
82.8,83
83.1,86
83.4,108
83.7,113
84,88
84.3,75
84.6,75
84.9,83
85.2,105
85.5,91
85.8,104
86.1,94
86.4,84
86.7,93
87,94
87.3,96
87.6,77
87.9,86
88.2,101
88.5,106
88.8,105
89.1,111
89.4,99
89.7,100
90,83
90.3,96
90.6,70
90.9,87
91.2,130
91.5,118
91.8,92
92.1,86
92.4,97
92.7,89
93,95
93.3,97
93.6,103
93.9,87
94.2,96
94.5,108
94.8,97
95.1,89
95.4,111
95.7,84
96,101
96.3,102
