Time(sec),Counts
0.6,33
0.9,40
1.2,39
1.5,39
1.8,42
2.1,40
2.4,35
2.7,33
3,32
3.3,22
3.6,28
3.9,30
4.2,33
4.5,27
4.8,28
5.1,35
5.4,36
5.7,37
6,41
6.3,31
6.6,36
6.9,38
7.2,37
7.5,50
7.8,38
8.1,42
8.4,43
8.7,49
9,30
9.3,37
9.6,38
9.9,41
10.2,46
10.5,59
10.8,37
11.1,44
11.4,40
11.7,30
12,36
12.3,31
12.6,31
12.9,45
13.2,48
13.5,36
13.8,36
14.1,32
14.4,39
14.7,33
15,26
15.3,31
15.6,50
15.9,26
16.2,32
16.5,48
16.8,38
17.1,34
17.4,28
17.7,39
18,40
18.3,40
18.6,37
18.9,41
19.2,40
19.5,46
19.8,44
20.1,34
20.4,28
20.7,36
21,33
21.3,37
21.6,27
21.9,36
22.2,39
22.5,30
22.8,39
23.1,48
23.4,30
23.7,36
24,42
24.3,37
24.6,28
24.9,32
25.2,35
25.5,23
25.8,33
26.1,40
26.4,26
26.7,38
27,26
27.3,28
27.6,40
27.9,36
28.2,38
28.5,39
28.8,46
29.1,37
29.4,49
29.7,32
30,42
30.3,36
30.6,40
30.9,54
31.2,33
31.5,41
31.8,30
32.1,29
32.4,46
32.7,52
33,34
33.3,39
33.6,45
33.9,49
34.2,35
34.5,30
34.8,45
35.1,53
35.4,40
35.7,33
36,33
36.3,29
36.6,40
36.9,40
37.2,38
37.5,40
37.8,41
38.1,37
38.4,28
38.7,46
39,38
39.3,35
39.6,35
39.9,46
40.2,39
40.5,38
40.8,46
41.1,50
41.4,44
41.7,41
42,36
42.3,44
42.6,32
42.9,39
43.2,53
43.5,36
43.8,36
44.1,39
44.4,34
44.7,32
45,46
45.3,44
45.6,34
45.9,24
46.2,36
46.5,31
46.8,30
47.1,25
47.4,38
47.7,44
48,36
48.3,34
