Time(sec),Counts
0.6,80
0.9,85
1.2,90
1.5,89
1.8,89
2.1,107
2.4,86
2.7,107
3,102
3.3,102
3.6,92
3.9,102
4.2,91
4.5,75
4.8,104
5.1,84
5.4,80
5.7,92
6,89
6.3,107
6.6,97
6.9,93
7.2,110
7.5,94
7.8,98
8.1,90
8.4,103
8.7,85
9,105
9.3,89
9.6,86
9.9,111
10.2,77
10.5,101
10.8,99
11.1,113
11.4,99
11.7,88
12,91
12.3,86
12.6,100
12.9,76
13.2,102
13.5,95
13.8,98
14.1,92
14.4,99
14.7,107
15,91
15.3,100
15.6,80
15.9,94
16.2,98
16.5,86
16.8,84
17.1,101
17.4,106
17.7,87
18,109
18.3,91
18.6,108
18.9,106
19.2,87
19.5,94
19.8,92
20.1,92
20.4,110
20.7,93
21,112
21.3,96
21.6,84
21.9,106
22.2,92
22.5,82
22.8,87
23.1,86
23.4,83
23.7,102
24,79
24.3,94
24.6,84
24.9,119
25.2,76
25.5,97
25.8,93
26.1,102
26.4,91
26.7,100
27,93
27.3,85
27.6,87
27.9,80
28.2,110
28.5,101
28.8,78
29.1,107
29.4,95
29.7,83
30,87
30.3,89
30.6,84
30.9,114
31.2,86
31.5,90
31.8,98
32.1,92
32.4,124
32.7,92
33,110
33.3,97
33.6,102
33.9,93
34.2,104
34.5,96
34.8,98
35.1,82
35.4,98
35.7,119
36,91
36.3,91
36.6,97
36.9,95
37.2,83
37.5,103
37.8,98
38.1,96
38.4,83
38.7,108
39,105
39.3,89
39.6,82
39.9,104
40.2,78
40.5,93
40.8,98
41.1,90
41.4,89
41.7,101
42,85
42.3,102
42.6,86
42.9,94
43.2,114
43.5,100
43.8,85
44.1,95
44.4,91
44.7,109
45,109
45.3,96
45.6,121
45.9,105
46.2,94
46.5,87
46.8,92
47.1,98
47.4,89
47.7,98
48,91
48.3,87
48.6,96
48.9,123
49.2,89
49.5,96
49.8,106
50.1,122
50.4,115
50.7,98
51,123
51.3,104
51.6,82
51.9,133
52.2,126
52.5,87
52.8,110
53.1,96
53.4,95
53.7,126
54,90
54.3,98
54.6,114
54.9,98
55.2,103
55.5,116
55.8,102
56.1,104
56.4,100
56.7,105
57,110
57.3,103
57.6,119
57.9,112
58.2,105
58.5,118
58.8,90
59.1,97
59.4,105
59.7,100
60,99
60.3,132
60.6,95
60.9,101
61.2,113
61.5,99
61.8,110
62.1,113
62.4,110
62.7,126
63,125
63.3,108
63.6,104
63.9,97
64.2,100
64.5,102
64.8,117
65.1,105
65.4,108
65.7,108
66,117
66.3,104
66.6,108
66.9,114
67.2,115
67.5,112
67.8,104
68.1,103
68.4,97
68.7,121
69,116
69.3,97
69.6,111
69.9,128
70.2,99
70.5,103
70.8,104
71.1,122
71.4,102
71.7,109
72,111
72.3,107
72.6,117
72.9,123
73.2,106
73.5,117
73.8,99
74.1,105
74.4,100
74.7,107
75,105
75.3,127
75.6,110
75.9,98
76.2,116
76.5,105
76.8,100
77.1,110
77.4,96
77.7,102
78,123
78.3,107
78.6,94
78.9,108
79.2,101
79.5,119
79.8,117
80.1,105
80.4,88
80.7,108
81,112
81.3,116
81.6,114
81.9,112
82.2,108
82.5,112
82.8,110
83.1,126
83.4,121
83.7,121
84,93
84.3,105
84.6,102
84.9,113
85.2,116
85.5,89
85.8,132
86.1,118
86.4,101
86.7,104
87,102
87.3,102
87.6,126
87.9,106
88.2,120
88.5,119
88.8,111
89.1,102
89.4,132
89.7,109
90,107
90.3,110
90.6,97
90.9,100
91.2,113
91.5,102
91.8,90
92.1,107
92.4,111
92.7,123
93,106
93.3,105
93.6,122
93.9,106
94.2,91
94.5,106
94.8,99
95.1,96
95.4,114
95.7,116
96,120
96.3,90
96.6,100
96.9,114
97.2,96
97.5,99
97.8,88
98.1,123
98.4,111
98.7,99
99,105
99.3,88
99.6,116
99.9,114
100,116
100,126
101,105
101,106
101,115
102,111
102,111
102,108
103,83
103,121
103,108
103,116
104,98
104,105
104,115
105,120
105,103
105,110
106,104
106,108
106,87
106,97
107,118
107,99
107,113
108,100
108,114
108,107
109,128
109,92
109,92
109,105
110,92
110,113
110,126
111,105
111,112
111,111
112,106
112,103
112,94
112,108
113,109
113,111
113,106
114,102
114,106
114,113
115,109
115,106
115,110
115,109
116,115
116,94
116,115
117,106
117,118
117,115
118,96
118,107
118,95
118,119
119,91
119,106
119,101
120,129
120,100
120,115
121,111
121,122
121,111
121,93
122,103
122,110
122,111
123,104
