Time(sec),Counts
0.6,42
0.9,36
1.2,42
1.5,32
1.8,41
2.1,46
2.4,39
2.7,41
3,29
3.3,37
3.6,37
3.9,40
4.2,38
4.5,33
4.8,39
5.1,53
5.4,41
5.7,37
6,47
6.3,53
6.6,50
6.9,49
7.2,42
7.5,41
7.8,37
8.1,43
8.4,33
8.7,42
9,31
9.3,36
9.6,44
9.9,39
10.2,45
10.5,37
10.8,51
11.1,40
11.4,45
11.7,38
12,47
12.3,41
12.6,44
12.9,42
13.2,40
13.5,30
13.8,37
14.1,52
14.4,34
14.7,44
15,50
15.3,50
15.6,45
15.9,35
16.2,39
16.5,49
16.8,39
17.1,38
17.4,38
17.7,45
18,39
18.3,38
18.6,40
18.9,42
19.2,50
19.5,43
19.8,36
20.1,36
20.4,30
20.7,39
21,43
21.3,37
21.6,41
21.9,35
22.2,32
22.5,45
22.8,36
23.1,44
23.4,36
23.7,51
24,48
24.3,38
24.6,52
24.9,45
25.2,33
25.5,41
25.8,44
26.1,47
26.4,37
26.7,43
27,42
27.3,31
27.6,38
27.9,54
28.2,37
28.5,34
28.8,37
29.1,44
29.4,39
29.7,52
30,33
30.3,48
30.6,46
30.9,45
31.2,23
31.5,48
31.8,47
32.1,39
32.4,38
32.7,42
33,39
33.3,40
33.6,42
33.9,40
34.2,39
34.5,39
34.8,44
35.1,31
35.4,36
35.7,33
36,40
36.3,51
36.6,49
36.9,58
37.2,39
37.5,51
37.8,50
38.1,38
38.4,38
38.7,40
39,50
39.3,47
39.6,40
39.9,41
40.2,45
40.5,36
40.8,45
41.1,39
41.4,40
41.7,42
42,40
42.3,55
42.6,48
42.9,40
43.2,54
43.5,46
43.8,46
44.1,44
44.4,40
44.7,45
45,47
45.3,46
