Time(sec),Counts
0.6,16
0.9,13
1.2,15
1.5,15
1.8,10
2.1,15
2.4,11
2.7,13
3,10
3.3,17
3.6,9
3.9,14
4.2,19
4.5,16
4.8,8
5.1,14
5.4,12
5.7,10
6,17
6.3,9
6.6,9
6.9,12
7.2,14
7.5,11
7.8,17
8.1,13
8.4,13
8.7,16
9,11
9.3,13
9.6,14
9.9,10
10.2,12
10.5,18
10.8,11
11.1,12
11.4,12
11.7,10
12,11
12.3,15
12.6,16
12.9,13
13.2,13
13.5,9
13.8,8
14.1,6
14.4,10
14.7,16
15,13
15.3,9
15.6,7
15.9,8
16.2,10
16.5,8
16.8,7
17.1,5
17.4,17
17.7,8
18,16
18.3,11
18.6,8
18.9,12
19.2,11
19.5,18
19.8,14
20.1,8
20.4,11
20.7,22
21,19
21.3,10
21.6,13
21.9,6
22.2,15
22.5,12
22.8,8
23.1,9
23.4,9
23.7,12
24,12
24.3,14
24.6,15
24.9,16
25.2,18
25.5,10
25.8,10
26.1,8
26.4,17
26.7,4
27,8
27.3,7
27.6,15
27.9,16
28.2,16
28.5,19
28.8,18
29.1,14
29.4,14
29.7,12
30,7
30.3,11
30.6,13
30.9,13
31.2,10
31.5,15
31.8,10
32.1,7
32.4,12
32.7,12
33,14
33.3,12
33.6,13
33.9,17
34.2,15
34.5,25
34.8,13
35.1,11
35.4,15
35.7,10
36,13
36.3,14
36.6,11
36.9,21
37.2,11
37.5,12
37.8,13
38.1,7
38.4,20
38.7,10
39,13
39.3,15
39.6,13
39.9,14
40.2,16
40.5,23
40.8,10
41.1,19
41.4,7
41.7,15
42,7
42.3,9
42.6,12
42.9,11
43.2,10
43.5,11
43.8,17
44.1,14
44.4,11
44.7,13
45,17
45.3,6
