source,Mo
Zr cap,no
U (keV),35
dt (s),10
dB,0.1
Bmin,2.5
Bmax,30
Run Time (min),46
degree,R/s
2.5,9.3
2.6,8.1
2.7,7.9
2.8,8.9
2.9,7.7
3,9.5
3.1,7.8
3.2,8.4
3.3,8.1
3.4,8.8
3.5,8.9
3.6,9.2
3.7,9.7
3.8,10.2
3.9,11.6
4,13
4.1,18.7
4.2,31.7
4.3,95.6
4.4,228
4.5,406.1
4.6,529.5
4.7,629.8
4.8,695.2
4.9,730.9
5,783.2
5.1,805.8
5.2,833.5
5.3,825
5.4,812.7
5.5,811.8
5.6,803.3
5.7,772.6
5.8,766.9
5.9,742.8
6,710.9
6.1,677
6.2,649.3
6.3,634.7
6.4,601.1
6.5,575.1
6.6,552.7
6.7,521.6
6.8,496.8
6.9,509.9
7,638.4
7.1,951.4
7.2,1046.1
7.3,746.2
7.4,472.7
7.5,411
7.6,405.5
7.7,472.5
7.8,737.7
7.9,1489.7
8,1827.8
8.1,1223.9
8.2,546.8
8.3,329.3
8.4,266.8
8.5,251.6
8.6,246.1
8.7,247
8.8,229.3
8.9,224.5
9,222.7
9.1,213.1
9.2,204.1
9.3,200.7
9.4,200.7
9.5,183.4
9.6,181
9.7,177.9
9.8,169.4
9.9,166.8
10,153
10.1,160.4
10.2,149
10.3,143.8
10.4,142.7
10.5,141
10.6,135.5
10.7,129.8
10.8,122.8
10.9,131.5
11,112.7
11.1,116.7
11.2,109
11.3,112.7
11.4,108.1
11.5,109.8
11.6,105
11.7,103.7
11.8,101.2
11.9,92.7
12,97.9
12.1,99.8
12.2,99.9
12.3,93.9
12.4,92.2
12.5,86.1
12.6,94.9
12.7,92.7
12.8,84
12.9,82.2
13,81.5
13.1,81
13.2,81.7
13.3,93.5
13.4,105.8
13.5,131.8
13.6,187.6
13.7,249.2
13.8,183.6
13.9,92
14,79.5
14.1,75.1
14.2,79.5
14.3,72.6
14.4,71.6
14.5,69.9
14.6,73.4
14.7,74.7
14.8,67.2
14.9,69.1
15,77.6
15.1,106.2
15.2,276
15.3,499.7
15.4,447.6
15.5,204.6
15.6,89.4
15.7,61.7
15.8,59.8
15.9,55.6
16,54.4
16.1,51.2
16.2,50.6
16.3,52
16.4,48
16.5,47.8
16.6,47.1
16.7,47.3
16.8,47.6
16.9,45.6
17,44.9
17.1,42.8
17.2,39.2
17.3,37.6
17.4,42.4
17.5,39.7
17.6,37.8
17.7,37.4
17.8,36.8
17.9,38.1
18,34
18.1,34.6
18.2,34.7
18.3,31.6
18.4,31.7
18.5,32.3
18.6,29.8
18.7,31.9
18.8,31.3
18.9,27.4
19,32.9
19.1,30.8
19.2,29.3
19.3,30.6
19.4,28.2
19.5,27.1
19.6,26.7
19.7,25
19.8,29.2
19.9,29.5
20,33.4
20.1,32.1
20.2,29.7
20.3,50.3
20.4,63.4
20.5,41.7
20.6,28.3
20.7,23.4
20.8,24.8
20.9,26.2
21,24
21.1,23.3
21.2,21.8
21.3,21.8
21.4,21.8
21.5,21
21.6,22
21.7,21.7
21.8,19.9
21.9,17.9
22,18.5
22.1,20.8
22.2,21.4
22.3,20.4
22.4,23.3
22.5,20.5
22.6,24.6
22.7,32.6
22.8,77.3
22.9,121
23,100.5
23.1,60.2
23.2,25.3
23.3,20.4
23.4,16.3
23.5,17.5
23.6,17.7
23.7,15.4
23.8,17.1
23.9,15.5
24,15.9
24.1,14.3
24.2,15
24.3,13.6
24.4,16.6
24.5,15.5
24.6,14.7
24.7,16.8
24.8,13.2
24.9,12.8
25,14.5
25.1,14.6
25.2,13.7
25.3,11.8
25.4,11.3
25.5,12.8
25.6,15
25.7,11.6
25.8,13.9
25.9,13.9
26,13.4
26.1,11.9
26.2,12.2
26.3,11
26.4,11.9
26.5,11.3
26.6,12.2
26.7,12.7
26.8,12.7
26.9,11.4
27,16.3
27.1,12
27.2,13.4
27.3,20.3
27.4,18.2
27.5,15.9
27.6,11.2
27.7,13.3
27.8,11.5
27.9,11.6
28,11
28.1,9.2
28.2,10.4
28.3,11
28.4,9
28.5,11.2
28.6,9
28.7,9.6
28.8,9.4
28.9,8.3
29,10.4
29.1,8.8
29.2,8.9
29.3,8.2
29.4,11.8
29.5,10.8
29.6,8.9
29.7,8.3
29.8,9.3
29.9,11
30,8.9
