source,Mo,MoU30,,source,Mo,MoU25,,source,Mo,MoU20
Zr cap,no,,,Zr cap,no,,,Zr cap,no,
U (keV),30,,,U (keV),25,,,U (keV),20,
dt (s),10,,,dt (s),10,,,dt (s),10,
dB,0.1,,,dB,0.1,,,dB,0.1,
Bmin,2.5,,,Bmin,2.5,,,Bmin,2.5,
Bmax,12.5,,,Bmax,12.5,,,Bmax,12.5,
Run Time (min),17,,,Run Time (min),17,,,Run Time (min),17,
degree,R/s,,,degree,R/s,,,degree,R/s,
3,4.2,,,,,,,,,
3.1,3.8,,,,,,,,,
3.2,4.5,,,,,,,,,
3.3,4.7,,,,,,,,,
3.4,5.4,,,,,,,,,
3.5,4.8,,,,,,,,,
3.6,4.9,,,,,,,,,
3.7,4.1,,,,,,,,,
3.8,4.8,,,,,,,,,
3.9,4.6,,,,,,,,,
4,4.7,,,,,,,,,
4.1,4.1,,,,,,,,,
4.2,5,,,,,,,,,
4.3,4.4,,,,,,,,,
4.4,5.3,,,,,,,,,
4.5,6.4,,,,,,,,,
4.6,6.2,,,,,,,,,
4.7,9.6,,,,,,,,,
4.8,20,,,,,,,,,
4.9,60.6,,,,,,,,,
5,130.5,,,,,,,,,
5.1,233.4,,,,,,,,,
5.2,316.9,,,,,,,,,
5.3,366.4,,,,,,,,,
5.4,413.1,,,,,,,,,
5.5,434.3,,,,,,,,,
5.6,458.5,,,,,,,,,
5.7,469.3,,,,,,,,,
5.8,469.3,,,,,,,,,
5.9,485.9,,,,,,,,,
6,470.9,,,,,,,,,
6.1,461.6,,,,,,,,,
6.2,460.5,,,,,,,,,
6.3,439.1,,,,,,,,,
6.4,417.5,,,,,,,,,
6.5,410.6,,,,,,,,,
6.6,390.5,,,,,,,,,
6.7,372.6,,,,,,,,,
6.8,370.4,,,,,,,,,
6.9,376.2,,,,,,,,,
7,450.8,,,,,,,,,
7.1,620.1,,,,,,,,,
7.2,658.2,,,,,,,,,
7.3,482.8,,,,,,,,,
7.4,330,,,,,,,,,
7.5,295.2,,,,,,,,,
7.6,288.6,,,,,,,,,
7.7,332.5,,,,,,,,,
7.8,483.1,,,,,,,,,
7.9,946.1,,,,,,,,,
8,1126.3,,,,,,,,,
8.1,727.6,,,,,,,,,
8.2,317.6,,,,,,,,,
8.3,206.5,,,,,,,,,
8.4,157.8,,,,,,,,,
8.5,143.6,,,,,,,,,
8.6,131.2,,,,,,,,,
8.7,124.5,,,,,,,,,
8.8,106.4,,,,,,,,,
8.9,99.7,,,,,,,,,
9,99.3,,,,,,,,,
9.1,92.1,,,,,,,,,
9.2,90.8,,,,,,,,,
9.3,91,,,,,,,,,
9.4,91.9,,,,,,,,,
9.5,92.2,,,,,,,,,
9.6,91.5,,,,,,,,,
9.7,93.4,,,,,,,,,
9.8,95.3,,,,,,,,,
9.9,92,,,,,,,,,
10,85.4,,,,,,,,,
10.1,85.5,,,,,,,,,
10.2,83.7,,,,,,,,,
10.3,77.1,,,,,,,,,
10.4,80.1,,,,,,,,,
10.5,86.3,,,,,,,,,
10.6,81,,,,,,,,,
10.7,75.6,,,,,,,,,
10.8,80.3,,,,,,,,,
10.9,74.1,,,,,,,,,
11,73.3,,,,,,,,,
11.1,70.3,,,,,,,,,
11.2,75.7,,,,,,,,,
11.3,70.5,,,,,,,,,
11.4,67.4,,,,,,,,,
11.5,68.4,,,,,,,,,
11.6,62.8,,,,,,,,,
11.7,65.1,,,,,,,,,
11.8,60.4,,,,,,,,,
11.9,61.4,,,,,,,,,
12,59.9,,,,,,,,,
12.1,62.7,,,,,,,,,
12.2,59.2,,,,,,,,,
12.3,56.8,,,,,,,,,
12.4,54.2,,,,,,,,,
12.5,46.6,,,,,,,,,
