source,Mo
Zr cap,yes
U (keV),35
dt (s),10
dB,0.1
Bmin,2.5
Bmax,30
Run Time (min),46
degree,R/s
2.5,5.5
2.6,6.4
2.7,5.2
2.8,7.7
2.9,6.7
3,6.4
3.1,5.5
3.2,6.4
3.3,6.8
3.4,6.6
3.5,7.8
3.6,7.5
3.7,7.5
3.8,5.9
3.9,8.5
4,8.7
4.1,13.2
4.2,20.8
4.3,56.8
4.4,134
4.5,223
4.6,287.4
4.7,326.5
4.8,343
4.9,356.8
5,352.6
5.1,358.5
5.2,326.5
5.3,319.8
5.4,301.8
5.5,283.5
5.6,262.3
5.7,242
5.8,212.3
5.9,199.6
6,182.8
6.1,160.8
6.2,140.9
6.3,123
6.4,119.2
6.5,98.6
6.6,90.7
6.7,76.9
6.8,70.4
6.9,66.1
7,69.2
7.1,100.2
7.2,104.4
7.3,71.5
7.4,48.7
7.5,58.4
7.6,83.8
7.7,177.6
7.8,424.5
7.9,978.4
8,1193.4
8.1,770.5
8.2,321.4
8.3,187
8.4,146.2
8.5,136.1
8.6,123.4
8.7,123
8.8,117.7
8.9,111.3
9,108.7
9.1,103.1
9.2,96.5
9.3,90.3
9.4,79.8
9.5,78.8
9.6,72.9
9.7,70.5
9.8,70.9
9.9,69.9
10,59.4
10.1,56
10.2,56.7
10.3,50.5
10.4,45.9
10.5,45.7
10.6,42
10.7,41.8
10.8,40.1
10.9,35
11,37.5
11.1,31.9
11.2,32.6
11.3,28.2
11.4,25.2
11.5,27.7
11.6,27
11.7,25.4
11.8,23
11.9,28.1
12,22.7
12.1,24.1
12.2,24.2
12.3,22.2
12.4,22.5
12.5,23.3
12.6,21.1
12.7,22.3
12.8,20.6
12.9,19.1
13,18.6
13.1,18.8
13.2,20.4
13.3,17.8
13.4,20.5
13.5,23.2
13.6,23.8
13.7,31.7
13.8,23.1
13.9,17.3
14,16.5
14.1,17.2
14.2,17
14.3,16.3
14.4,14.2
14.5,15.4
14.6,12.6
14.7,14.2
14.8,19
14.9,28.5
15,38.7
15.1,55.2
15.2,159.8
15.3,298.2
15.4,267.1
15.5,118.8
15.6,42
15.7,28.4
15.8,25.1
15.9,28.8
16,22.2
16.1,19.6
16.2,21.1
16.3,21.4
16.4,20.1
16.5,18.8
16.6,19
16.7,18.7
16.8,15.5
16.9,14.1
17,16.4
17.1,15.5
17.2,13.6
17.3,11.4
17.4,12.9
17.5,14.1
17.6,12.8
17.7,9.7
17.8,11.2
17.9,12.2
18,9.5
18.1,11.8
18.2,9.1
18.3,9.7
18.4,10.9
18.5,9.4
18.6,8.4
18.7,9.3
18.8,8.4
18.9,8.7
19,7.6
19.1,9.2
19.2,7.7
19.3,7.7
19.4,6.6
19.5,7.3
19.6,6.4
19.7,6.7
19.8,7.4
19.9,7.2
20,5.5
20.1,7
20.2,7.4
20.3,9.7
20.4,8.2
20.5,8
20.6,5.7
20.7,5.6
20.8,5.6
20.9,5.9
21,6.3
21.1,4.7
21.2,4.8
21.3,6.1
21.4,4.5
21.5,5.4
21.6,4.7
21.7,5
21.8,6.5
21.9,4.3
22,5
22.1,5.8
22.2,8.1
22.3,6.2
22.4,7.6
22.5,8.6
22.6,10.3
22.7,17.1
22.8,39.4
22.9,66
23,56.1
23.1,29.6
23.2,13.4
23.3,9
23.4,7.4
23.5,7.6
23.6,6.3
23.7,7.3
23.8,7.1
23.9,5.3
24,6.1
24.1,6.4
24.2,6.1
24.3,4.9
24.4,5.8
24.5,6
24.6,5.1
24.7,5.3
24.8,5.8
24.9,5.4
25,4.6
25.1,5.1
25.2,4.7
25.3,4.8
25.4,4.1
25.5,6.2
25.6,3.8
25.7,5.5
25.8,3.7
25.9,4.5
26,5.1
26.1,4.1
26.2,4
26.3,2.8
26.4,3.2
26.5,3.3
26.6,4.2
26.7,3.1
26.8,4.1
26.9,3.8
27,4.3
27.1,3.6
27.2,3.5
27.3,3.6
27.4,3.9
27.5,3.6
27.6,3.6
27.7,4
27.8,3.6
27.9,2
28,3.4
28.1,4.1
28.2,4.2
28.3,3.9
28.4,2.9
28.5,3.9
28.6,3.1
28.7,3.8
28.8,2.3
28.9,3.4
29,3.3
29.1,3.1
29.2,2.9
29.3,2.8
29.4,2.9
29.5,2.9
29.6,2.5
29.7,3.4
29.8,2.8
29.9,2.7
30,3.5
