source,W74
Zr cap,no
U (keV),35
dt (s),10
dB,0.1
Bmin,2.5
Bmax,30
Run Time (min),46
degree,R/s
2.5,37.1
2.6,32.3
2.7,34
2.8,32.1
2.9,34.1
3,31.7
3.1,32.2
3.2,32.5
3.3,35.8
3.4,38.7
3.5,41.4
3.6,44.7
3.7,53.7
3.8,66.8
3.9,90.1
4,138.7
4.1,189.2
4.2,215.3
4.3,244.8
4.4,257.3
4.5,279.4
4.6,294.8
4.7,319.3
4.8,334
4.9,354.7
5,361.7
5.1,360.6
5.2,363.3
5.3,358.7
5.4,369.5
5.5,359.7
5.6,356.1
5.7,359.2
5.8,334.9
5.9,339.4
6,330.8
6.1,317.8
6.2,309.8
6.3,308.2
6.4,311.4
6.5,308.6
6.6,303.8
6.7,289.2
6.8,276.5
6.9,279.9
7,268.9
7.1,253.6
7.2,251.3
7.3,256.8
7.4,254.7
7.5,252.9
7.6,239.6
7.7,250
7.8,240.6
7.9,244.2
8,235.5
8.1,236.3
8.2,239.5
8.3,221.9
8.4,221
8.5,208.9
8.6,206.9
8.7,204.1
8.8,200.5
8.9,189.9
9,187.1
9.1,186.7
9.2,177.5
9.3,183.7
9.4,168.1
9.5,158.9
9.6,156.4
9.7,152.5
9.8,154.1
9.9,140.5
10,140.6
10.1,136.1
10.2,134.8
10.3,135.7
10.4,133.1
10.5,128.9
10.6,134.2
10.7,133.8
10.8,137
10.9,142.2
11,144.1
11.1,148.4
11.2,149.2
11.3,147.7
11.4,138.8
11.5,142.7
11.6,126.7
11.7,108.8
11.8,102.9
11.9,95.8
12,97.1
12.1,96.1
12.2,98.4
12.3,103
12.4,113.1
12.5,123.5
12.6,141.6
12.7,162.9
12.8,173.4
12.9,183.2
13,186.7
13.1,192.4
13.2,176.3
13.3,162.6
13.4,150.7
13.5,132.9
13.6,96.5
13.7,81.9
13.8,78.6
13.9,73.6
14,76.1
14.1,76.8
14.2,70.3
14.3,70.1
14.4,74.8
14.5,68.9
14.6,75.5
14.7,86
14.8,91.1
14.9,103.8
15,112.7
15.1,124.7
15.2,124.1
15.3,116.6
15.4,102.5
15.5,86.8
15.6,69.6
15.7,60.2
15.8,56.1
15.9,54.7
16,52.3
16.1,51.8
16.2,56
16.3,54.9
16.4,56
16.5,56.4
16.6,51.4
16.7,49.8
16.8,49.1
16.9,51.7
17,48.5
17.1,51.5
17.2,45.6
17.3,49
17.4,50.9
17.5,47.2
17.6,44.3
17.7,41.7
17.8,45.3
17.9,44.6
18,42.2
18.1,43
18.2,41
18.3,47.7
18.4,40.8
18.5,45.1
18.6,43
18.7,40.2
18.8,41.7
18.9,43.9
19,40.4
19.1,41.4
19.2,41.1
19.3,37.8
19.4,38.6
19.5,37
19.6,37.9
19.7,41.2
19.8,37.9
19.9,37.1
20,35.7
20.1,34.6
20.2,36.4
20.3,33.3
20.4,36.8
20.5,34
20.6,37.7
20.7,37.5
20.8,33.1
20.9,35.4
21,32
21.1,35.5
21.2,33.5
21.3,34.8
21.4,35.4
21.5,32.6
21.6,36.6
21.7,32.8
21.8,37.1
21.9,29.8
22,31.2
22.1,33.5
22.2,31.6
22.3,35.5
22.4,34.1
22.5,37.4
22.6,29.5
22.7,33.5
22.8,34.3
22.9,34.2
23,32.9
23.1,32.2
23.2,35
23.3,32.7
23.4,30
23.5,29.4
23.6,24.9
23.7,29.5
23.8,32.1
23.9,27.2
24,26.4
24.1,29.1
24.2,28
24.3,27.1
24.4,25.7
24.5,29.3
24.6,26.5
24.7,26
24.8,26.3
24.9,25.9
25,25.5
25.1,23.2
25.2,25.8
25.3,27.2
25.4,24.5
25.5,25.3
25.6,24
25.7,25.2
25.8,27.3
25.9,28.7
26,30.7
26.1,26
26.2,28
26.3,30.4
26.4,30
26.5,33.7
26.6,34
26.7,30
26.8,30.6
26.9,33.5
27,31.8
27.1,33.2
27.2,35.4
27.3,33.7
27.4,32
27.5,30.4
27.6,25.2
27.7,25.1
27.8,22.3
27.9,23
28,23.1
28.1,20.5
28.2,21.6
28.3,21.4
28.4,23.4
28.5,21.4
28.6,20.6
28.7,21
28.8,20.5
28.9,19
29,18.6
29.1,21
29.2,21.6
29.3,20.2
29.4,18
29.5,20.1
29.6,16.9
29.7,19.8
29.8,19.6
29.9,20.2
30,19.5
