source,W74
Zr cap,yes
U (keV),35
dt (s),10
dB,0.1
Bmin,2.5
Bmax,30
Run Time (min),46
degree,R/s
2.5,16.6
2.6,18.4
2.7,15.7
2.8,16.3
2.9,17.9
3,13.7
3.1,17.7
3.2,17.2
3.3,17
3.4,18.5
3.5,20.2
3.6,22.6
3.7,27
3.8,35.5
3.9,46.9
4,65.5
4.1,79.2
4.2,85.9
4.3,100.6
4.4,108.4
4.5,114.6
4.6,114.8
4.7,113.4
4.8,107.7
4.9,111.5
5,101.3
5.1,107.8
5.2,98.8
5.3,94.1
5.4,88.4
5.5,87.3
5.6,78
5.7,73.5
5.8,67.6
5.9,63
6,62.2
6.1,58.1
6.2,51
6.3,54.3
6.4,50.7
6.5,52.4
6.6,58.9
6.7,57.2
6.8,65.1
6.9,67.3
7,76
7.1,93
7.2,103.2
7.3,120.7
7.4,132.7
7.5,149
7.6,139.9
7.7,135.7
7.8,133.9
7.9,129.4
8,126.3
8.1,121
8.2,119.8
8.3,113.1
8.4,105
8.5,106.9
8.6,101.7
8.7,89.1
8.8,88.8
8.9,80.8
9,82.8
9.1,74.5
9.2,75.9
9.3,70
9.4,71.4
9.5,64.5
9.6,58.6
9.7,61.5
9.8,53
9.9,53
10,49.6
10.1,47.3
10.2,44.5
10.3,43.4
10.4,44.1
10.5,42.4
10.6,43.1
10.7,44.4
10.8,42.1
10.9,40
11,38.9
11.1,41.7
11.2,39.1
11.3,40.8
11.4,34.7
11.5,37
11.6,31.6
11.7,27.5
11.8,27.9
11.9,28.9
12,27.7
12.1,27.1
12.2,25
12.3,27.3
12.4,28.6
12.5,28
12.6,28.9
12.7,28.9
12.8,29.6
12.9,29.6
13,28.4
13.1,28.2
13.2,24.5
13.3,26.1
13.4,24.6
13.5,22.3
13.6,20
13.7,18.3
13.8,18.6
13.9,18.7
14,16.5
14.1,18.4
14.2,19.6
14.3,21.8
14.4,22.7
14.5,26.1
14.6,25.6
14.7,24.2
14.8,22.4
14.9,23.9
15,23.6
15.1,24
15.2,20.4
15.3,22.2
15.4,22.8
15.5,20.4
15.6,18.8
15.7,20.4
15.8,21.6
15.9,17.9
16,17.1
16.1,18.3
16.2,15.9
16.3,17.7
16.4,16.2
16.5,19.3
16.6,15.4
16.7,17.4
16.8,17.9
16.9,16.6
17,16.3
17.1,14.7
17.2,14.8
17.3,15.3
17.4,14.5
17.5,15.2
17.6,14.2
17.7,13
17.8,13.6
17.9,13.6
18,14
18.1,11.8
18.2,15.1
18.3,11.4
18.4,12.4
18.5,11.8
18.6,12.1
18.7,13.5
18.8,9.9
18.9,11.2
19,12.6
19.1,10.4
19.2,10.4
19.3,9.9
19.4,10.5
19.5,11.1
19.6,8.6
19.7,11.3
19.8,10.2
19.9,11.2
20,10.8
20.1,9.9
20.2,9.6
20.3,9.4
20.4,11.1
20.5,10.7
20.6,8
20.7,9.6
20.8,9.4
20.9,8.7
21,9.2
21.1,9.5
21.2,9.7
21.3,8.6
21.4,10.1
21.5,8.7
21.6,7.1
21.7,10.1
21.8,9.4
21.9,7.7
22,9.6
22.1,10.1
22.2,6.8
22.3,11
22.4,9.7
22.5,9.6
22.6,9.9
22.7,10.4
22.8,8.7
22.9,9.4
23,10.5
23.1,9.6
23.2,8.4
23.3,9.3
23.4,8.7
23.5,9.4
23.6,7.9
23.7,7.4
23.8,8.3
23.9,8.3
24,9.3
24.1,8.8
24.2,7.6
24.3,7.5
24.4,9.4
24.5,8.2
24.6,8
24.7,6.2
24.8,7.6
24.9,8
25,7.7
25.1,8.7
25.2,7.9
25.3,6
25.4,7.5
25.5,7
25.6,7.6
25.7,6.3
25.8,8.2
25.9,7
26,7.6
26.1,6.8
26.2,6.5
26.3,6
26.4,6.7
26.5,6.4
26.6,7.1
26.7,5.8
26.8,6.1
26.9,8
27,9.3
27.1,8.8
27.2,7.9
27.3,6.5
27.4,5.4
27.5,7
27.6,7.3
27.7,5.2
27.8,6.1
27.9,5.2
28,6.2
28.1,6.3
28.2,5.2
28.3,5.3
28.4,6.4
28.5,4.6
28.6,6.1
28.7,5
28.8,4.9
28.9,5.3
29,6.1
29.1,5.1
29.2,4.7
29.3,5.8
29.4,6.5
29.5,5.7
29.6,5.5
29.7,6.1
29.8,5.9
29.9,6.2
30,5
